"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"SVIL",7,0,1,0,4,133,2,6,0,0,0,59,0,0,0,150,1,0,4,0,6,17
"KIAA1462",1,0,0,0,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
"MTPAP",8,0,4,0,4,25,0,1,1,0,1,2,0,0,0,26,1,0,1,2,1,0
"MAP3K8",97,0,84,0,4,104,15,0,1,5,5,0,0,2,1,11,1,0,23,2,10,3
"ZNF438",6,0,1,0,2,28,0,0,0,0,0,3,0,0,0,2,0,0,2,0,1,0
"RP11-192P3.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ZEB1-AS1",0,0,0,0,2,25,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0,1
"ZEB1",1,0,0,0,5,122,2,2,1,3,5,10,0,0,2,2,3,0,0,2,13,5
"RP11-472N13.3",11,0,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ARHGAP12",10,0,3,0,16,119,0,0,0,0,1,2,0,0,0,75,1,0,4,0,3,3
"KIF5B",103,3,47,2,37,349,6,6,8,12,9,26,2,1,2,513,7,2,8,3,32,29
"EPC1",23,1,13,2,13,137,3,5,9,11,14,6,2,1,5,107,3,3,3,4,6,4
"CCDC7",4,0,0,1,0,3,0,0,1,1,0,1,0,0,0,9,0,0,1,0,1,0
"CCDC7.1",2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"RP11-479G22.8",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1
"ITGB1",128,1,38,2,148,1255,7,13,8,11,8,78,5,5,6,470,74,4,11,5,86,75
"NRP1",125,0,12,0,12,148,0,0,0,0,0,2,0,0,0,1,8,0,0,0,41,2
"PARD3",0,0,0,0,2,45,0,1,0,0,0,2,0,0,0,66,1,0,0,0,1,1
"PARD3-AS1",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUL2",11,0,5,0,2,20,3,1,0,2,2,2,1,0,0,28,2,0,0,1,3,1
"CREM",200,7,49,4,10,214,27,2,1,101,42,1,11,2,22,48,1,3,13,17,18,14
"CCNY",32,0,10,1,7,100,0,0,1,1,0,5,0,0,1,73,3,0,4,0,9,3
"RP11-324I22.4",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
"RP11-425A6.5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FZD8",0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,1
"RP11-258F22.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ZNF248",2,0,3,0,1,15,0,0,2,1,0,0,0,0,0,21,0,0,0,0,0,0
"RP11-162G10.5",0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
"ZNF25",4,0,6,0,5,44,1,0,0,0,0,0,0,0,2,4,1,0,2,0,2,0
