"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"C2orf27B",0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1
"AJ239322.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"RP11-725P16.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,3,0
"GPR39",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"LYPD1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"NCKAP5",15,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1
"MGAT5",31,26,2,1,3,1,1,0,7,1,0,3,0,3,3,36,13,9,1,15,6,1,4,0,1,5,0,5,10,3,2,8,93,16,4
"TMEM163",40,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0
"CCNT2-AS1",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,0,0
"CCNT2",28,15,5,1,4,0,2,2,10,4,1,1,0,3,3,20,7,5,0,3,10,0,0,2,0,5,0,5,5,1,7,18,36,22,3
"RAB3GAP1",46,41,6,9,20,0,3,2,26,7,3,0,0,1,1,32,17,13,2,12,10,3,6,1,2,6,6,2,21,3,13,27,53,56,6
"ZRANB3",5,1,0,1,0,0,0,0,5,0,0,0,0,0,1,3,1,0,1,0,5,1,0,0,2,2,0,0,7,1,1,2,17,3,0
