"","ImmProt_T4.CM_01","ImmProt_T4.CM_02","ImmProt_T4.CM_03","ImmProt_T4.CM_04","ImmProt_T4.CM_01_activated","ImmProt_T4.CM_02_activated","ImmProt_T4.CM_03_activated","ImmProt_T4.CM_04_activated","ImmProt_T4.EM_01","ImmProt_T4.EM_02","ImmProt_T4.EM_03","ImmProt_T4.EM_04","ImmProt_T4.EM_01_activated","ImmProt_T4.EM_02_activated","ImmProt_T4.EM_03_activated","ImmProt_T4.EM_04_activated"
"85007",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8644",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"10826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3930",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"123264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5446",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4864",0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1
"506",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3069",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"10632",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"515",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10476",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"513",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"522",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"539",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9551",0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1
"516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4905",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"498",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"267020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27089",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10975",1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"7381",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4519",0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
