"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Double-Negative Tcells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"SLX4IP",0,0,2,0,1,0,0,1,4,0,0,0,2,0,0,15,0,1,1,2,0
"JAG1",1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,34,2,0,0,0,3
"RP11-103J8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP1-278O22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,0,0,0,0
"RP11-103J8.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BTBD3",0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"RP4-742J24.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPTLC3",1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
"ISM1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"TASP1",0,0,1,0,9,2,0,1,3,0,1,1,1,0,0,11,0,0,1,0,0
"ESF1",6,1,7,1,21,5,1,7,21,8,3,4,5,2,2,57,2,1,1,2,1
"NDUFAF5",0,0,1,0,3,3,1,0,2,2,1,1,0,0,0,17,2,0,0,0,0
"MACROD2",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"FLRT3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"KIF16B",1,0,2,0,3,0,0,0,4,3,0,1,1,0,0,26,0,0,0,0,0
"AL049794.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"SNRPB2",24,3,32,5,83,21,5,7,51,39,7,5,23,3,6,169,8,6,8,6,4
"PCSK2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"BFSP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"DSTN",23,2,22,1,339,20,5,1,56,23,136,3,12,0,12,789,27,9,5,2,30
"RRBP1",7,0,18,0,94,2,0,5,3,2,1,1,2,1,2,290,2,9,2,1,2
"SNX5",15,0,16,0,20,3,1,9,10,7,2,10,6,0,0,123,2,2,7,2,2
"OVOL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"MGME1",3,0,2,0,5,1,0,0,4,3,0,5,1,0,1,24,1,0,0,2,0
"PET117",3,0,0,0,6,0,0,0,4,1,0,0,4,0,0,26,0,0,3,2,0
"CSRP2BP",1,0,4,0,2,1,2,0,1,1,0,0,1,1,0,7,0,1,0,0,0
"ZNF133",0,0,0,0,5,0,1,0,4,2,0,0,0,0,0,3,0,0,0,1,0
"DZANK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
"POLR3F",0,0,1,0,6,1,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0
"RBBP9",0,0,1,0,4,0,0,1,1,1,0,1,0,1,0,5,0,0,0,0,0
"SEC23B",7,1,2,0,13,4,0,1,3,2,0,2,2,0,0,27,0,2,1,0,0
"LINC00493",23,2,27,0,64,10,2,9,46,28,7,2,26,1,3,236,3,14,4,2,4
"DTD1",3,1,6,0,25,4,0,1,11,4,1,4,13,0,2,35,1,2,1,0,1
"RP5-1068E13.7",0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
"SLC24A3",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"RP1-122P22.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP1-122P22.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RIN2",4,0,3,0,10,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,3
"NAA20",18,1,7,0,26,9,1,2,18,1,2,6,9,2,3,96,0,3,5,1,1
"CRNKL1",4,0,6,0,11,4,0,2,6,7,0,2,2,0,1,22,0,0,1,0,1
"INSM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"RALGAPA2",0,0,1,0,1,1,0,0,6,2,0,1,0,1,1,29,0,1,1,0,0
"KIZ",1,0,0,0,10,3,0,0,9,1,3,1,1,0,2,5,0,1,0,0,0
"KIZ-AS1",0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"RP1-198K11.5",0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"XRN2",9,1,15,1,23,12,0,2,23,14,3,2,11,2,1,58,2,4,8,4,2
