"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"FAM206A",7,35,0,0,0,1,0,0,0,0,2,1,0,36,4
"CTNNAL1",1,128,0,0,0,0,1,9,0,0,13,0,3,41,15
"TMEM245",15,79,1,0,3,4,2,6,1,0,23,0,1,225,12
"FRRS1L",0,2,0,0,1,0,0,0,0,0,0,0,0,5,1
"EPB41L4B",2,6,0,0,0,0,0,0,0,0,0,0,0,174,2
"PTPN3",0,7,0,0,0,0,0,0,0,0,6,0,0,64,0
"PALM2",0,14,0,0,0,0,0,0,0,0,4,0,0,3,0
"PALM2-AKAP2",0,2,0,0,0,0,0,0,0,0,1,0,0,1,0
"AKAP2",1,2,0,0,0,0,0,0,0,0,0,1,1,1,1
"C9orf152",0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
"TXN",516,1457,5,14,44,46,14,43,6,1,131,42,54,4460,120
"SVEP1",0,57,0,0,0,0,0,0,0,0,1,0,0,2,0
"RP11-410K21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
