"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"DIRC2",18,6,0,0,0,0,2,0,1,3,2,2,0,1,0,0,0,0,4,0,3,26,1
"RP11-67L2.2",7,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,8,0
"SEMA5B",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"PDIA5",3,45,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,7,0,0,2,75,3
"SEC22A",6,21,0,2,6,0,4,0,0,3,10,3,1,1,0,0,2,4,1,1,2,38,2
"ADCY5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HACD2",26,15,1,2,5,1,0,0,0,4,4,7,0,0,1,0,1,0,4,0,1,117,4
"MYLK-AS1",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
"MYLK",1,176,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,0,0,11,2
"CCDC14",17,31,3,3,10,5,5,1,2,4,12,2,3,2,3,0,1,2,0,1,12,138,5
"KALRN",0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,92,6
"UMPS",7,10,2,2,3,2,3,1,1,5,16,2,1,2,0,0,1,3,5,1,10,142,2
"ITGB5",38,120,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,114,0
"MUC13",4,4,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,571,0
"HEG1",5,51,0,2,3,2,1,0,1,1,4,11,0,0,2,0,4,0,5,0,4,4,42
"SLC12A8",3,42,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,4,0,0,45,2
"ZNF148",16,50,8,3,4,4,6,0,3,14,17,13,3,1,1,1,0,5,6,0,11,176,11
"SNX4",37,23,3,4,6,2,2,0,2,11,8,6,2,1,0,3,4,3,10,0,11,98,3
"OSBPL11",20,5,0,1,2,1,1,0,1,6,4,3,0,0,0,0,0,0,2,0,3,30,1
"RP11-666A20.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"ALG1L",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22,0
"ROPN1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLC41A3",11,25,2,5,2,0,1,0,1,13,14,9,4,1,0,0,2,1,4,1,12,118,5
