"","CD8aa IELs","cDCs","Double-Negative Tcells","Fibroblasts","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"RP11-304F15.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-304F15.4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DLX4",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"ITGA3",1,0,0,0,0,0,4,2,0,1,0,0,2,1,0,0,0,3
"PDK2",1,0,0,8,1,3,7,0,0,6,2,0,3,1,0,0,3,3
"SAMD14",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP1R9B",0,1,0,4,1,6,2,5,2,7,0,0,4,1,0,0,0,6
"SGCA",0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"COL1A1",0,0,0,485,1,0,2,2,1,3,1,0,0,0,0,0,0,12
"XYLT2",1,1,1,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0
"MRPL27",6,9,0,31,10,7,47,21,3,17,4,5,11,20,3,0,5,9
"LRRC59",9,11,0,34,5,15,61,27,7,34,7,6,14,30,13,1,8,4
"ACSF2",0,0,0,3,0,5,3,2,1,0,0,0,2,1,1,0,1,1
"RSAD1",3,0,0,8,2,3,8,1,1,2,0,0,2,3,3,0,1,5
"MYCBPAP",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"EPN3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SPATA20",0,0,0,11,1,2,4,4,4,3,2,2,1,6,1,0,0,9
"CACNA1G",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ABCC3",0,0,0,1,0,0,0,1,0,0,1,0,1,15,0,0,0,0
"ANKRD40",4,1,2,13,1,4,24,8,7,8,1,1,2,1,2,0,3,11
"RP11-294J22.6",3,2,0,7,2,5,9,11,4,12,3,1,3,1,1,0,3,6
"LUC7L3",10,6,3,52,7,23,69,30,18,51,7,13,21,19,10,2,9,27
"WFIKKN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOB1",21,4,2,18,3,13,65,38,11,46,10,3,8,10,1,0,15,8
"SPAG9",5,8,1,19,4,11,31,22,8,20,3,1,8,17,1,4,1,30
"NME1",1,7,0,35,3,17,53,12,12,32,9,3,8,24,16,0,7,15
"NME2",0,0,0,4,0,0,6,3,1,0,0,0,0,1,0,0,0,0
"MBTD1",0,0,0,2,0,3,3,0,1,4,0,0,1,1,0,0,0,2
"UTP18",4,2,0,8,3,9,14,7,0,8,2,2,4,1,0,0,3,2
"CA10",0,0,0,0,0,0,7,4,0,2,0,0,1,0,0,0,0,0
"TOM1L1",0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"COX11",4,2,1,15,3,3,33,11,5,15,2,0,7,7,2,1,1,6
"STXBP4",0,0,0,3,0,0,3,2,0,1,1,0,0,0,0,0,0,1
"HLF",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,9,0
"RP11-515O17.2",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"RP11-515O17.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MMD",0,0,0,31,2,3,18,6,4,5,1,0,2,1,0,0,0,1
"TMEM100",0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"PCTP",0,1,0,0,1,1,0,2,0,4,0,0,2,0,0,0,0,1
"NOG",0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"C17orf67",1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"DGKE",0,1,0,0,1,2,7,3,1,2,1,0,1,0,1,0,0,5
"TRIM25",1,3,1,7,3,2,4,4,2,2,0,1,7,2,0,1,1,9
"RP11-670E13.6",1,3,0,22,2,0,1,1,1,1,0,1,0,6,0,2,0,6
"COIL",3,1,1,5,5,4,24,19,6,17,2,5,11,1,2,0,6,5
"SCPEP1",0,6,0,114,1,28,11,8,13,8,0,1,2,0,6,2,1,11
"RP11-166P13.3",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
"AKAP1",4,1,1,4,2,5,20,7,3,12,1,1,5,14,2,0,0,5
"RP11-166P13.4",3,0,0,2,0,4,32,9,1,8,2,2,4,1,0,0,1,1
"MSI2",1,0,0,9,4,10,24,12,5,17,4,2,2,6,7,0,7,4
"MRPS23",1,1,0,9,2,6,20,12,6,14,4,0,7,5,2,1,2,8
"CUEDC1",0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"VEZF1",3,2,0,20,1,5,26,7,7,8,2,2,3,2,0,1,5,17
"RP11-159D12.5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP11-159D12.2",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRSF1",4,0,4,33,4,13,41,15,7,25,5,3,7,13,5,0,4,13
"RP11-159D12.10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DYNLL2",5,2,0,19,10,13,69,35,8,37,5,2,18,5,1,0,11,9
"MKS1",0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,2
"LPO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MPO",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BZRAP1",0,1,0,0,0,7,5,5,0,0,0,0,1,0,1,0,0,0
"BZRAP1-AS1",1,0,0,2,0,2,8,3,0,1,1,1,1,0,0,0,0,0
"RP5-1171I10.5",5,10,0,0,4,17,37,29,9,13,2,5,12,0,5,0,5,0
"SUPT4H1",11,19,2,43,5,31,109,51,21,66,12,9,17,7,8,4,14,27
"RNF43",0,0,0,0,1,1,4,3,2,1,0,1,1,7,0,0,0,0
"MTMR4",1,0,0,1,0,2,1,5,6,7,0,1,0,0,2,0,2,1
"SEPT4-AS1",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SEPT4",0,0,0,16,0,0,0,0,0,1,0,0,0,0,1,0,0,4
"TEX14",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"RAD51C",1,1,0,5,1,5,11,3,1,5,1,0,3,1,2,0,4,2
"TRIM37",0,0,0,1,1,0,5,1,2,1,1,0,1,0,0,0,3,1
"AC099850.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SKA2",3,2,0,15,1,1,10,8,4,8,3,1,1,5,0,0,2,5
"PRR11",0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0
"SMG8",0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
"GDPD1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"YPEL2",0,0,0,6,0,0,4,3,1,11,1,1,3,1,1,1,2,11
"DHX40",1,1,1,3,1,2,14,9,1,7,1,0,1,1,0,0,0,0
"RP11-758H9.2",5,0,0,8,2,6,20,4,5,6,1,0,4,0,3,1,5,2
"CLTC",0,3,0,17,1,5,13,5,2,8,0,1,2,8,4,3,1,10
"PTRH2",3,0,0,15,3,1,11,2,3,7,1,1,0,1,3,0,0,7
"VMP1",10,8,3,75,6,15,102,28,6,33,6,6,8,25,8,7,19,39
"TUBD1",2,0,0,2,2,2,8,8,1,7,3,2,1,1,0,0,3,3
"RPS6KB1",5,1,2,6,4,7,26,12,8,11,2,1,5,2,4,2,2,1
