"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"DDX39A",86,169,1,2,1,20,2,4,4,4,18,1,1,2,3,2,6,21,4,13,17,48,676,63,7
"PKN1",83,103,1,5,2,12,1,4,4,1,19,5,0,1,4,1,1,14,0,17,4,23,136,68,4
"PTGER1",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIPC1",37,130,0,0,1,13,0,2,4,1,10,2,1,2,1,0,1,14,0,4,1,8,691,24,9
"DNAJB1",161,512,8,4,1,86,2,12,10,1,71,16,2,17,11,0,2,14,3,49,21,65,1814,31,13
"TECR",121,357,1,5,7,57,1,6,12,5,34,9,2,8,4,2,9,48,9,19,6,66,1876,80,16
"NDUFB7",546,1327,6,14,9,153,3,8,41,17,66,10,12,11,13,1,16,194,17,94,18,145,3072,285,109
"ADGRE3",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"ZNF333",6,24,0,0,0,3,0,1,1,0,2,0,0,0,1,0,0,3,0,0,0,2,24,6,2
"ADGRE2",71,62,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,8,0,27,0,1,7,0,2
"SYDE1",1,168,0,0,0,13,0,0,0,0,1,0,3,0,0,0,0,36,0,0,1,0,3,18,10
"ILVBL",39,144,0,0,0,17,0,0,1,1,4,0,0,0,1,1,1,16,2,3,1,10,359,35,2
"AC003956.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"NOTCH3",10,238,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,322,0,2,0,1,17,5,103
"AC004257.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EPHX3",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1
"BRD4",109,276,2,2,2,32,1,4,9,2,20,1,1,0,2,0,1,27,1,25,3,20,486,75,15
