"","Transcriptomics","Final"
"23632",0,0
"766",0,0
"771",0,0
"768",0,0
"762",0,0
"10057",0,0
"6556",0,0
"6568",0,0
"7779",1,1
"54020",1,1
"215",0,0
"5825",1,1
"641372",0,0
"9045",2,2
"4017",1,1
"84105",0,0
"25830",0,0
"84569",0,0
"4025",0,0
"54995",1,1
"93492",0,0
"1267",1,1
"10249",0,0
"1573",0,0
"1580",0,0
"199974",0,0
"260293",0,0
"1555",0,0
"1549",0,0
"57834",0,0
"29785",0,0
"1215",0,0
"1357",0,0
"93979",0,0
"57094",0,0
"1358",0,0
"7177",1,1
"64499",0,0
"23430",0,0
"1636",0,0
"9365",0,0
"9331",0,0
"7368",0,0
"5315",2,2
"1666",2,2
"874",0,0
"10901",1,1
"126410",0,0
"2053",1,1
"8897",1,1
"8898",1,1
"9152",0,0
"9497",0,0
"115584",0,0
"6575",1,1
"6574",2,2
"142680",1,1
"6534",0,0
"3293",0,0
"1622",2,2
"225",0,0
"28965",0,0
"23205",0,0
"26061",2,2
"54716",0,0
"6564",0,0
"113235",0,0
"1200",2,2
"2168",0,0
"51056",2,2
"9390",0,0
"5184",2,2
"4891",0,0
"30061",1,1
"248",0,0
"4524",1,1
"25796",2,2
"28982",1,1
"6120",0,0
"10864",0,0
"9376",0,0
"9356",0,0
"348932",0,0
"120103",0,0
"1080",0,0
"85320",0,0
"222962",1,1
"10351",0,0
"9429",0,0
"55867",0,0
"364",0,0
"89872",0,0
"360",2,2
"21",0,0
"24",0,0
"125206",0,0
"200010",0,0
"6524",0,0
"159963",0,0
"55065",0,0
"79581",0,0
"3767",0,0
"6833",0,0
"10060",0,0
"3764",0,0
"5947",0,0
"64220",0,0
"5950",0,0
"5948",1,1
"949",0,0
"29881",0,0
"2350",0,0
"3248",0,0
"166929",0,0
"56261",2,2
"3658",0,0
"203",1,1
"122481",0,0
"159",2,2
"122622",0,0
"11212",2,2
"383",0,0
"1371",0,0
"1503",0,0
"56474",1,1
"2987",2,2
"5860",2,1
"9453",1,1
"2027",0,0
"2026",1,1
"2023",1,1
"9843",0,0
"80308",1,1
"7360",2,2
"26330",0,0
"2597",2,2
"9945",0,0
"2673",1,1
"2752",0,0
"51557",0,0
"1800",0,0
"2762",1,1
"2643",2,1
"761",0,0
"359",0,0
"4284",0,0
"361",0,0
"358",0,0
"362",0,0
"3145",0,0
"586",2,1
"3614",1,1
"3615",2,2
"682",2,1
"4351",0,0
"441024",0,0
"100287639",0,0
"65220",1,1
"389015",0,0
"6553",0,0
"2821",2,2
"5230",2,2
"5232",0,0
"375056",1,1
"5236",2,1
"55276",1,1
"5373",1,1
"5372",2,1
"210",1,1
"60490",1,1
"79717",2,2
"58510",0,0
"153201",0,0
"5634",2,2
"5631",2,2
"221823",0,0
"29968",1,1
"5723",1,1
"55312",1,1
"6888",2,2
"79896",0,0
"84076",0,0
"7086",1,1
"8277",0,0
"27010",2,1
"7167",2,2
"286016",0,0
"2582",1,1
"6675",2,1
"91373",1,1
"7390",1,1
"8170",0,0
"6563",1,1
"374569",0,0
"100507855",0,0
"55191",0,0
"132",2,1
"97",1,1
"98",1,1
"112611",0,0
"51005",1,1
"471",2,2
"435",1,1
"171425",1,1
"10007",2,1
"132789",1,1
"2584",1,1
"2585",1,1
"2592",1,1
"5471",1,1
"84264",0,0
"3034",0,0
"144193",0,0
"2739",2,2
"3613",0,0
"3612",2,2
"8776",1,1
"2978",0,0
"4953",2,2
"5214",2,2
"5213",1,1
"6569",1,1
"10050",0,0
"10568",0,0
"10786",0,0
"10246",0,0
"5198",0,0
"113675",1,1
"7298",0,0
"131669",0,0
"5973",0,0
"1635",2,2
"286297",0,0
"10560",1,1
"191",1,1
"10768",2,1
"25874",2,2
"51660",2,2
"57198",1,1
"5205",0,0
"23250",0,0
"286410",0,0
"5243",0,0
"55856",1,1
"7350",0,0
"26027",0,0
"10058",1,1
"51458",1,1
"948",0,0
"10928",0,0
"1728",0,0
"2946",0,0
"125981",1,1
"55331",1,1
"340485",0,0
"2760",0,0
"5660",2,2
"57704",0,0
"4759",0,0
"10825",0,0
"7903",1,1
"5407",0,0
"119548",0,0
"5408",0,0
"221955",0,0
"9388",0,0
"13",0,0
"57104",1,1
"3991",0,0
"747",1,1
"8513",0,0
"5406",0,0
"2170",0,0
"2171",1,1
"2167",0,0
"2172",0,0
"646480",0,0
"2173",0,0
"646486",0,0
"2169",0,0
"6296",0,0
"341392",0,0
"54988",0,0
"123876",0,0
"348158",0,0
"344967",0,0
"154141",2,2
"51099",1,1
"253558",2,1
"84513",2,2
"64748",1,1
"9890",0,0
"9663",1,1
"196051",0,0
"79948",0,0
"23175",0,0
"64900",0,0
"85465",1,1
"122618",0,0
"201164",1,1
"23646",1,1
"590",0,0
"91012",1,1
"204219",0,0
"10715",0,0
"253782",0,0
"29956",2,1
"79603",1,1
"56624",0,0
"55757",0,0
"145173",0,0
"644974",0,0
"56886",0,0
"152586",0,0
"55830",2,2
"170384",1,1
"283358",0,0
"148789",0,0
"2526",1,1
"84750",0,0
"644378",0,0
"55624",0,0
"83468",0,0
"168391",0,0
"338707",0,0
"146664",0,0
"360203",0,0
"56983",2,2
"3703",2,1
"124872",0,0
"8473",2,2
"8708",0,0
"2529",0,0
"8702",1,1
"8707",0,0
"200810",0,0
"84752",0,0
"201595",2,2
"140687",0,0
"51228",2,2
"284004",1,1
"79411",0,0
"27090",0,0
"129807",0,0
"2524",0,0
"2528",0,0
"2527",0,0
"113612",0,0
"493869",0,0
"64180",1,1
"64174",1,1
"10728",2,2
"11102",1,1
"91179",0,0
"10826",0,0
"266740",0,0
"3930",2,2
"4645",0,0
"3069",1,1
"4864",0,0
"285440",1,1
"79644",0,0
"1646",1,1
"51170",2,2
"51144",1,1
"8630",0,0
"158160",2,1
"83401",0,0
"64834",2,2
"79993",0,0
"401494",0,0
"192286",2,2
"201562",2,1
"9200",1,1
"51495",2,2
"253017",0,0
"9524",1,1
"283985",0,0
"3995",0,0
"1155",2,2
"114571",0,0
"123096",0,0
"57016",0,0
"55277",0,0
"79707",0,0
"64122",0,0
"9917",1,1
"79672",2,2
"92370",0,0
"390928",0,0
"93650",0,0
"139596",0,0
"55066",1,1
"283208",0,0
"5033",2,2
"8974",0,0
"58478",2,2
"55256",2,2
"259307",1,1
"81894",2,1
"51312",1,1
"138639",0,0
"23203",2,2
"9896",2,1
"374462",0,0
"163404",0,0
"22908",2,1
"22876",1,1
"84814",0,0
"51559",1,1
"29085",2,1
"64419",2,2
"145553",1,1
"51496",0,0
"8446",2,2
"9107",2,2
"23371",0,0
"9108",0,0
"55613",0,0
"403313",1,1
"9562",0,0
"3705",0,0
"138429",0,0
"10170",0,0
"9249",1,1
"220074",1,1
"1733",0,0
"1735",0,0
"1734",0,0
"6819",0,0
"27284",0,0
"84274",2,1
"4297",0,0
"55904",2,2
"55870",1,1
"79723",0,0
"79813",0,0
"387893",0,0
"8085",0,0
"58508",0,0
"9869",0,0
"9757",0,0
"80854",1,1
"9739",1,1
"64754",2,1
"84444",1,1
"10919",1,1
"64324",1,1
"23067",2,1
"6839",1,1
"83852",0,0
"54904",2,2
"84787",0,0
"29072",2,2
"7468",1,1
"51111",0,0
"6419",1,1
"90701",2,2
"9789",2,2
"23478",2,2
"28972",2,2
"60559",2,2
"57171",1,1
"4249",2,1
"25834",0,0
"137902",0,0
"7837",1,1
"9677",1,1
"23262",1,1
"26007",0,0
"158584",2,2
"283209",1,1
"23491",0,0
"221223",0,0
"1208",0,0
"55244",0,0
"146802",0,0
"345274",0,0
"116085",0,0
"123688",1,1
"56898",0,0
"51171",1,1
"84869",1,1
"51741",1,1
"10202",0,0
"1487",2,2
"93517",0,0
"121214",0,0
"10553",2,1
"100288072",0,0
"374875",0,0
"441282",0,0
"340811",0,0
"133121",0,0
"85007",2,2
"250",0,0
"251",0,0
"123264",0,0
"200931",0,0
"10941",0,0
"79799",0,0
"10476",2,2
"518",2,2
"498",2,2
"516",2,2
"522",2,2
"515",2,2
"9551",2,2
"27109",0,0
"267020",1,0
"509",2,2
"513",2,2
"514",2,2
"517",2,2
"521",2,2
"10632",2,2
"506",2,2
"539",2,2
"29796",2,2
"4519",2,1
"1537",2,2
"7381",2,2
