"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"S100A13",4,3,1,0,0,85,2676,3,29,3,1,4,2,2,0,1,0,2,94,6,6,0,1,314,7
"S100A1",0,0,0,0,0,187,13,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"RP1-178F15.4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"CHTOP",3,4,3,1,1,9,167,9,1,3,5,29,8,9,2,0,1,5,44,5,5,2,2,36,3
"SNAPIN",3,1,2,1,2,9,135,2,7,0,0,10,10,1,3,1,0,1,15,3,1,1,2,39,5
"ILF2",10,8,14,0,4,14,303,28,11,10,7,43,30,12,17,2,1,10,113,6,17,3,4,79,5
"NPR1",0,0,1,0,0,0,102,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,1
"INTS3",2,1,1,0,0,2,46,0,0,0,0,2,1,0,0,1,0,0,8,0,0,0,0,9,2
"SLC27A3",2,3,1,0,2,1,96,2,13,1,0,3,0,0,0,0,1,0,8,1,0,0,0,5,2
"GATAD2B",0,2,3,1,0,3,50,1,1,0,0,3,4,1,0,0,0,0,17,0,1,0,1,14,2
"DENND4B",2,2,2,0,0,3,10,4,0,2,2,2,7,3,1,1,0,0,6,0,0,1,0,4,0
"CRTC2",1,3,0,0,0,1,41,2,0,0,1,9,1,0,2,0,0,0,11,1,1,0,0,17,2
