"","GSM2859418","GSM2859446","GSM3045787","GSM3045788","GSM3319762","GSM3319763","GSM3319799","GSM3319800","GSM3319836","GSM3319837","GSM3319871","GSM3319872","GSM1414746","GSM1414747","GSM1414748","GSM1414749","GSM1414750","GSM1414751"
"84649",1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
"1716",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6546",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"6547",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"54407",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6541",1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0
"6543",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6515",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"59272",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"84889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81539",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"340024",1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"6513",1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
"55089",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1718",0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0
"2538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1581",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"57818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92579",0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
"1373",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
"873",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
"11254",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"57393",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"6542",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"84706",0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0
"1717",1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"2875",0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1
"8560",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10423",0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
"123099",1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"92745",0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1
"10991",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1040",1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
"11309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8760",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"284273",1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0
"6783",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1723",0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0
"10327",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"10390",1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1
"56994",0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1
"1807",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"64781",1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1
"1809",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8854",1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"1808",1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0
"10087",1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1
"23539",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"6565",0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"9023",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"224",0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0
"501",0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0
"2224",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"1103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29958",0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0
"60386",0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0
"223",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"216",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"162466",0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1
