"","GSM1621305","GSM1621306","GSM1621307","GSM1621308","GSM1621309","GSM1621310","GSM1621311"
"386757",0,1,0,1,0,1,1
"80150",1,0,1,1,1,0,1
"51703",1,1,1,1,1,1,0
"81616",1,1,0,1,0,0,1
"23305",1,0,1,0,1,1,0
"440",1,1,1,1,1,1,1
"6535",0,0,0,1,0,1,1
"1384",0,1,0,0,1,0,1
"116285",0,0,0,0,0,0,0
"6583",0,0,0,0,0,0,0
"5167",0,0,0,0,0,0,0
"790",1,1,1,0,0,0,0
"5169",0,0,0,0,0,0,0
"54898",0,0,0,0,0,0,0
"6511",0,0,0,0,0,0,0
"1431",1,1,1,1,1,1,1
"6785",0,0,0,0,0,0,0
"6505",0,0,0,0,0,0,0
"54677",1,1,0,1,0,0,0
"60481",1,1,1,1,1,1,1
"6507",0,0,0,0,0,0,0
"79071",0,0,0,0,0,0,0
"1579",0,0,0,0,0,0,0
"6512",1,1,0,0,1,0,0
"2194",0,0,0,1,1,0,1
"6506",0,0,0,0,0,0,0
"376497",0,1,1,1,1,0,0
"10999",0,1,1,0,0,0,1
"525",1,0,1,1,0,0,0
"11000",1,1,1,1,1,0,0
"230",1,1,1,1,1,1,1
"226",1,1,1,1,1,1,1
"527",1,1,1,1,1,1,1
"8140",1,1,1,1,1,1,1
"229",0,0,0,0,0,0,0
"23545",0,0,1,0,1,1,0
"5207",0,0,1,0,1,0,0
"526",1,1,1,1,1,1,1
"23428",0,0,0,1,0,0,1
"5208",0,0,0,0,0,0,0
"1036",0,0,0,0,0,0,0
"245973",0,1,1,1,0,0,1
"5210",1,1,1,1,1,0,0
"8789",0,1,0,1,1,0,1
"5209",1,1,1,1,1,1,1
"124935",1,1,0,0,1,0,1
"2203",1,0,0,1,1,0,1
"2235",1,0,1,1,1,0,0
"23657",0,0,0,0,0,0,0
"57379",0,0,0,0,0,0,0
"2629",1,1,1,1,1,0,0
"10840",0,0,0,0,1,1,1
"26301",1,1,0,1,1,0,0
"79901",0,0,1,1,0,0,0
"978",0,0,0,0,0,0,0
"7371",1,0,1,1,1,0,0
"83549",0,0,1,1,1,1,1
"7915",1,0,1,0,0,1,0
"125061",0,1,0,1,1,0,1
"4329",0,0,1,0,0,0,1
"51727",0,1,0,0,1,0,1
"1719",1,0,1,0,1,0,1
"129607",1,0,0,1,0,0,0
"2356",1,1,1,1,1,1,1
"2731",0,1,1,1,0,1,0
"29988",0,0,0,1,1,1,0
"275",1,1,0,1,0,0,0
"2653",1,0,1,0,1,0,0
"1609",1,1,0,0,1,0,1
