"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"LINC00685",20,22,9,5,4,2,3,3,14,6,2,0,0,1,23,10,17,0,4,21,1,2,0,3,3,0,1,6,23,16,15,4
"PPP2R3B",3,4,1,1,0,0,0,0,3,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,2,0,0,0,6,11,7,0
"RP13-465B17.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP13-465B17.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-309M23.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"CRLF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"CSF2RA",199,3,0,77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,0,0,8,0,3,5,1,0
"IL3RA",19,26,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,22,11,0,1,0,2,18,276,0
"SLC25A6",1147,1089,119,386,87,16,76,20,644,192,29,30,60,58,1115,522,260,66,200,565,34,24,24,49,287,20,99,186,638,2171,874,181
"LINC00106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"ASMTL",25,34,1,8,11,0,3,3,24,18,0,2,2,1,18,19,9,0,6,15,0,0,1,1,9,0,0,1,33,29,32,13
"P2RY8",8,0,10,0,0,3,1,2,0,19,1,0,0,0,32,29,14,0,9,29,1,0,3,0,0,1,1,18,12,0,21,0
"AKAP17A",31,24,6,7,9,1,6,1,13,7,1,1,1,2,35,21,13,2,7,19,3,4,1,3,4,1,1,5,28,44,29,7
"ASMT",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"RP13-297E16.4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DHRSX",93,73,4,14,6,0,3,3,48,5,1,1,0,0,20,7,9,4,2,5,0,0,0,2,14,0,2,3,17,31,37,4
"ZBED1",38,41,5,5,2,1,0,0,16,1,1,0,0,0,9,10,4,0,3,9,0,0,0,2,1,0,2,0,15,30,30,6
