"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"SLC39A8",1,1,2,1,0,6,6,0,2,26,9,0,9,9,0,2,6,51,0,0,1,1,6,1
"RP11-499E18.1",0,1,0,0,1,17,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0
"AF213884.2",1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NFKB1",17,1,10,2,7,123,13,12,22,67,10,2,23,27,1,4,7,44,2,2,5,10,61,14
"MANBA",1,1,1,1,1,61,1,1,11,4,3,1,9,1,1,0,0,19,0,0,3,1,13,1
"UBE2D3",17,49,23,17,53,548,146,61,175,378,129,15,97,179,14,27,35,249,12,13,20,53,567,55
"RP11-10L12.4",0,1,0,0,2,13,0,1,1,0,0,2,0,0,0,0,0,4,0,0,1,0,7,2
"CISD2",2,5,4,6,9,74,30,5,22,47,24,2,25,23,2,7,6,60,0,9,7,7,59,6
"SLC9B1",0,0,0,0,0,8,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,4,0
"SLC9B2",0,0,0,1,0,17,0,0,3,1,0,0,3,3,0,0,0,0,0,0,0,0,17,2
"BDH2",0,0,0,0,9,246,3,9,4,8,2,4,3,3,0,0,0,37,3,0,1,3,70,8
"CENPE",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,6,0
"TACR3",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CXXC4",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0
"AC004053.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC004069.2",0,0,0,0,0,5,0,1,1,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0
"TET2",5,1,1,0,2,13,4,2,11,11,2,2,5,5,0,0,0,13,0,0,0,5,9,1
"PPA2",1,2,2,2,4,121,13,7,26,43,12,6,5,8,1,0,3,123,0,1,3,4,75,10
"AC004066.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ARHGEF38",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"INTS12",0,0,0,0,2,18,4,3,4,4,2,1,3,5,0,0,1,11,0,0,0,1,37,1
