"","GSM1209561","GSM1209562","GSM1209563","GSM2460434","GSM2460438","GSM2460442","GSM2460446","GSM2460450","GSM2460454","GSM2607420","GSM2607421","GSM2607422","GSM2607423","GSM2607424","GSM2607425"
"51205",0,0,1,0,0,1,1,1,1,0,1,0,1,1,0
"36",1,0,0,0,0,1,1,1,1,1,0,1,1,0,0
"34",1,0,1,0,0,1,1,1,1,1,1,1,0,0,0
"35",0,1,0,1,1,0,0,0,0,0,1,1,1,0,0
"84129",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"28976",0,0,1,0,0,0,1,1,0,1,1,0,1,0,0
"80724",1,0,0,1,1,1,0,0,0,0,1,1,1,1,0
"27034",1,0,1,0,0,1,1,1,1,0,0,0,1,1,1
"3712",0,0,1,0,1,1,0,1,0,1,1,1,0,0,0
"134526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",1,0,0,0,0,0,1,1,1,1,1,0,0,0,0
"95",0,1,1,1,1,0,1,0,0,1,1,1,0,0,0
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",0,1,1,0,1,0,1,1,1,1,1,1,0,1,0
"8309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"788",0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
"55902",0,1,0,1,1,0,1,1,0,1,1,1,0,0,0
"65985",1,0,1,0,0,1,1,0,1,1,0,0,0,0,1
"438",1,0,1,1,0,0,0,0,1,1,1,0,1,0,0
"1571",1,0,1,1,0,1,1,1,0,0,0,0,1,1,1
"100",1,0,0,0,1,1,0,1,1,0,1,0,1,1,1
"3177",1,0,1,0,1,0,1,0,1,1,0,1,0,0,0
"205",0,1,0,1,0,0,1,0,0,1,0,1,1,0,0
"204",0,0,1,0,0,1,1,1,0,1,0,1,0,0,0
"26289",0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
"50808",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"109",1,0,1,0,0,1,1,1,0,1,1,1,1,0,0
"115",1,1,0,0,0,1,1,0,0,0,1,0,1,1,0
"112",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"107",1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
"114",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"55811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196883",0,1,0,1,0,0,0,1,0,0,0,0,1,1,1
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2030",1,1,0,0,1,0,0,1,0,1,1,0,1,0,0
"9154",1,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"64078",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9153",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"55315",1,1,0,1,0,0,0,1,1,0,0,0,1,1,1
"11164",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"952",1,1,0,0,1,1,1,1,0,1,1,1,0,0,1
"1375",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"1374",1,0,0,1,1,1,0,0,0,0,1,0,1,1,1
"126129",1,0,1,1,1,0,0,0,0,1,1,0,0,1,1
"1376",1,0,1,0,0,1,1,1,1,1,1,0,0,0,1
"9061",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
"9060",0,1,0,0,0,0,1,1,0,0,0,1,0,1,1
"158",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10331",0,1,0,1,1,0,1,0,0,0,1,1,1,0,0
"374907",0,0,1,1,1,0,0,0,0,0,0,1,1,1,1
"10678",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"79369",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0
"11041",1,1,0,0,0,0,1,1,1,1,1,0,1,0,0
"93010",1,0,1,1,1,0,0,1,0,0,0,1,0,1,1
"79814",1,0,1,1,0,1,1,1,1,1,1,1,0,0,0
