"","ImmProt_T8.CM_01","ImmProt_T8.CM_02","ImmProt_T8.CM_03","ImmProt_T8.CM_04","ImmProt_T8.CM_01_activated","ImmProt_T8.CM_02_activated","ImmProt_T8.CM_03_activated","ImmProt_T8.CM_04_activated"
"175",0,0,1,0,1,1,1,1
"26301",NA,NA,NA,NA,NA,NA,NA,NA
"4329",1,1,1,1,1,1,1,1
"7915",1,1,0,0,0,0,0,1
"2731",0,0,0,0,1,1,0,0
"275",0,1,1,0,0,1,0,1
"2653",1,0,1,1,1,1,0,0
"2651",NA,NA,NA,NA,NA,NA,NA,NA
"55343",NA,NA,NA,NA,NA,NA,NA,NA
"8836",1,0,1,1,1,1,1,0
"79017",1,0,0,1,0,1,0,1
"8908",NA,NA,NA,NA,NA,NA,NA,NA
"2992",1,1,1,0,1,1,0,1
"2997",1,0,1,0,1,0,1,1
"2998",NA,NA,NA,NA,NA,NA,NA,NA
"2687",NA,NA,NA,NA,NA,NA,NA,NA
"6472",1,1,1,1,1,1,1,1
"6470",1,0,1,0,0,1,1,0
"2717",1,0,0,1,1,1,0,1
"2632",1,0,1,1,1,1,0,0
"2990",0,1,0,1,1,1,1,0
"8372",0,1,0,0,1,0,1,1
"26035",0,0,1,1,0,0,0,0
"54480",1,0,0,1,1,0,1,1
"2131",0,0,0,0,0,0,0,0
"2132",0,0,1,0,0,0,0,0
"27087",NA,NA,NA,NA,NA,NA,NA,NA
"26229",0,1,1,0,1,0,1,0
"135152",NA,NA,NA,NA,NA,NA,NA,NA
"4669",0,1,1,0,0,0,1,1
"64579",NA,NA,NA,NA,NA,NA,NA,NA
"9348",NA,NA,NA,NA,NA,NA,NA,NA
"8509",1,1,0,1,0,0,1,1
"3340",1,0,0,0,0,1,1,1
"2137",NA,NA,NA,NA,NA,NA,NA,NA
"2135",0,1,1,1,0,0,0,0
"2134",NA,NA,NA,NA,NA,NA,NA,NA
"144195",NA,NA,NA,NA,NA,NA,NA,NA
"154091",NA,NA,NA,NA,NA,NA,NA,NA
"11182",0,0,0,0,1,1,0,0
"56606",0,0,0,0,0,0,0,0
"6523",NA,NA,NA,NA,NA,NA,NA,NA
"178",1,0,1,0,0,1,0,1
"5837",NA,NA,NA,NA,NA,NA,NA,NA
"5834",1,1,1,1,1,1,1,1
"5836",0,0,0,0,0,0,0,1
"2729",1,0,1,0,0,0,1,1
"2730",1,1,1,1,1,1,1,1
"2746",1,1,1,1,1,1,1,1
"2747",1,1,1,1,1,1,1,1
"10841",NA,NA,NA,NA,NA,NA,NA,NA
"27165",NA,NA,NA,NA,NA,NA,NA,NA
