"","ImmProt_T8.CM_01","ImmProt_T8.CM_02","ImmProt_T8.CM_03","ImmProt_T8.CM_04","ImmProt_T8.CM_01_activated","ImmProt_T8.CM_02_activated","ImmProt_T8.CM_03_activated","ImmProt_T8.CM_04_activated","ImmProt_T8.EM_01","ImmProt_T8.EM_02","ImmProt_T8.EM_03","ImmProt_T8.EM_04","ImmProt_T8.EM_01_activated","ImmProt_T8.EM_02_activated","ImmProt_T8.EM_03_activated","ImmProt_T8.EM_04_activated"
"5295",1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0
"10870",0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
"55808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5251",0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
"5320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30833",1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1
"81579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23533",0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
"8398",1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1
"5296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4907",1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
"5291",1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"5293",1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0
"6476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4952",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"64600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23236",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"100137049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26279",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5335",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5332",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"257068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5336",0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1
"23007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5334",1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
"10654",0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
"9651",0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
"9807",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"412",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5331",0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1
"84812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5330",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6391",1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1
"113026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6392",1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1
"6390",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5333",1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0
"6389",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6821",0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1
"89869",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"6533",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"5288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5092",0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
"5287",1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0
"23530",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5286",0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1
"8876",0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
"79178",1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0
"5305",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8875",1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0
"64499",0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
"6567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7177",0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
"1890",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"27068",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1636",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"9365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
