"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL22+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"LL22NC03-86G7.1",0,0,0,0,0,2,6,2,0,0,1,0,3,1,0,0,1,0,0,0,2,0,0,0,1,0,0
"TOP3B",0,0,0,0,0,0,5,0,0,1,1,1,8,2,1,1,0,1,0,0,11,1,0,0,0,1,0
"IGLVI-70",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGLV4-69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"IGLV4-60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"IGLV6-57",0,1,0,0,0,0,1,0,0,1,0,0,3,1,0,2,0,1,0,1,3,0,14,0,1,2,0
"IGLV10-54",0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,1,1,2,0,1,0,0,1,1
"VPREB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CH17-264L24.1",0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL22NC03-2H8.5",0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"IGLV1-51",1,0,1,0,0,0,4,0,0,1,1,2,6,1,0,0,0,0,0,0,4,1,1,0,0,3,0
"IGLV9-49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IGLV5-48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"IGLV1-47",1,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,1,0,0,4,1
"IGLV7-46",0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0
"IGLV5-45",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGLV1-44",0,0,1,0,0,0,6,0,0,0,0,1,2,0,0,0,1,0,1,0,15,1,6,0,0,4,0
"IGLV7-43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0
"IGLV1-40",0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
"IGLV1-36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ZNF280B",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0
"LL22NC03-63E9.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"IGLV3-27",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGLV3-25",0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,2,5,1,4,0,0,1,1
"IGLV2-23",0,0,0,0,0,0,5,3,0,0,0,2,4,2,1,1,0,1,0,0,3,0,2,0,0,1,1
"IGLV3-21",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0
"IGLV3-19",0,0,0,0,0,1,7,0,0,0,1,4,3,2,0,1,3,0,0,0,16,1,5,0,0,1,0
"IGLV2-14",1,1,0,1,0,0,3,1,0,0,0,1,3,4,0,0,2,0,0,0,3,0,6,0,0,2,0
"IGLV2-11",0,0,0,0,1,1,9,0,0,0,1,1,3,0,0,0,1,0,0,1,11,0,8,0,0,2,0
"IGLV3-10",0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,1,0
"IGLV3-9",0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"IGLV2-8",0,0,0,0,0,1,8,0,0,1,0,0,7,2,1,1,2,0,0,0,3,0,7,0,0,1,0
"IGLV3-1",1,0,3,0,0,1,3,1,0,0,0,1,2,0,1,0,0,0,0,0,7,0,2,0,1,3,0
"IGLL5",1,2,0,0,0,1,2,1,0,1,1,4,4,2,0,1,0,0,0,1,10,0,572,0,1,6,0
"IGLC2",158,76,203,29,30,143,1221,159,14,47,177,855,1377,495,64,430,210,41,56,119,1433,70,5486,34,72,588,41
"IGLC3",38,19,43,2,7,37,278,59,2,15,61,254,426,118,11,129,53,7,12,42,307,25,1863,7,23,116,12
"IGLC5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"IGLC6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"IGLC7",3,3,4,1,0,1,22,3,1,0,2,6,22,13,0,2,3,0,0,2,26,3,27,0,1,6,1
"RSPH14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GNAZ",0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAB36",0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"BCR",0,0,1,0,0,3,3,1,0,1,1,1,3,2,0,1,1,0,0,2,13,0,0,0,1,19,0
"AP000344.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
"IGLL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0
"KB-208E9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RGL4",1,6,1,4,1,0,1,11,1,0,0,2,93,40,0,2,13,2,3,4,1,0,0,1,9,0,0
"ZNF70",0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0
"VPREB3",0,0,0,0,0,0,4,0,0,0,0,125,3,1,0,80,0,0,0,0,1,1,12,0,0,1,0
"C22orf15",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHCHD10",38,5,32,2,3,12,161,25,1,9,12,63,93,47,19,27,15,4,5,15,1024,19,37,6,4,53,19
"MMP11",0,0,0,0,0,1,38,0,0,0,0,1,0,0,6,1,0,0,0,0,1,3,0,0,0,10,1
"SMARCB1",7,4,4,1,1,13,71,6,0,2,2,53,48,23,2,13,7,1,1,3,146,8,18,1,3,34,4
"DERL3",4,4,1,0,0,1,13,0,0,0,4,14,9,6,0,5,0,0,1,2,31,2,119,0,0,5,0
"KB-1125A3.11",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
