"","GSM565276","GSM565277","GSM565278","GSM565279","GSM565280","GSM814482","GSM814483","GSM814484","GSM814485","GSM1070753","GSM1070754","GSM1070757","GSM1070758","GSM1070761","GSM1070762","GSM1215107","GSM1215109","GSM1215111","GSM1215113","GSM2080663","GSM2080664"
"246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8574",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"23600",1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0
"115286",1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1
"271",1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0
"272",0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0
"278",1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0
"277",1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0
"279",1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0
"280",1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0
"6519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"276",1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0
"11136",1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1
"10998",0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1
"113451",1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0
"9057",1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0
"384",0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0
"445",1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"83884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10166",1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0
"410",0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
"427",1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1
"9963",1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0
"9962",0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
"80150",1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1
"440",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"790",1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0
"6505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6512",0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
"6511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6507",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"6506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9296",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51606",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
"533",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90423",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
"528",0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0
"525",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"10312",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"127124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"245973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"50617",1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0
"9114",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23545",1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0
"8992",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"535",0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1
"527",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"526",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"523",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1
"529",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51382",0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1
"245972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957",1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0
"956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955",1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1
"953",0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1
"954",0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
"377841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"291",0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1
"292",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4126",0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0
"8706",0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"10317",0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0
"84002",1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
"3141",1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1
"140679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635",1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
"23743",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
"10599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1244",1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0
"8714",1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1
"28234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645",0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1
"644",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1
"9488",0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1
"10380",0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0
"686",0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
"8884",1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1
"80704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
