"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CIDEC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"JAGN1",6,4,1,1,4,2,0,6,1,6,4,4,18,8,2,5,2,2,2,8,1,0,2,1,14,136,5
"IL17RE",1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,1,2,28,0
"IL17RC",8,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,2,12,3
"CRELD1",3,2,0,0,3,0,0,3,3,4,4,3,10,3,2,2,4,0,1,1,1,1,1,0,2,28,3
"PRRT3",0,3,0,0,1,1,0,0,1,0,0,0,3,0,0,2,0,1,4,1,0,0,0,0,0,7,1
"PRRT3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"RP11-1020A11.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"EMC3",13,8,0,3,4,2,1,11,7,12,8,3,37,12,0,8,6,3,7,11,4,0,0,2,18,86,5
"AC022007.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FANCD2",1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,1,6,0
"BRK1",128,73,10,25,24,13,4,63,35,65,34,23,221,36,12,35,48,5,64,56,26,12,7,17,108,370,67
"VHL",6,2,2,1,3,0,0,6,5,5,3,5,24,3,1,2,3,0,5,4,3,0,0,0,7,26,3
"IRAK2",28,1,0,2,0,0,0,1,3,0,1,0,2,0,0,0,6,1,2,2,7,1,0,0,2,12,11
"TATDN2",1,2,1,0,2,0,0,3,3,4,1,1,10,1,0,1,2,0,2,4,0,0,1,1,5,16,3
"LINC00852",1,0,0,0,1,0,2,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,3,0,0
"GHRL",3,0,0,0,1,0,0,2,0,1,0,1,7,0,0,4,1,0,0,4,1,0,1,0,1,2,0
"GHRLOS",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SEC13",18,9,1,3,2,3,0,7,7,7,2,2,28,6,1,2,8,0,16,49,5,0,0,0,13,152,7
"SLC6A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"HRH1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6
"ATG7",21,2,0,0,2,2,0,0,0,0,1,1,6,1,0,0,1,0,2,0,5,0,0,0,2,12,0
"VGLL4",6,10,2,0,0,1,0,0,0,0,1,1,4,5,0,1,2,0,2,2,0,0,0,0,4,106,20
"RP11-169K17.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMM41",1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,15,0
"SYN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TIMP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"PPARG",1,0,0,0,0,0,1,1,0,13,0,0,20,1,0,1,0,0,0,0,0,0,2,0,6,50,0
"TSEN2",0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,20,0
