"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"THAP1",11,15,2,2,1,1,4,1,1,0,0,1,13,9,12,60,13
"RNF170",5,12,0,1,0,2,1,0,0,0,1,0,22,2,4,106,6
"HOOK3",34,42,0,4,1,1,6,1,1,0,0,0,53,16,2,146,40
"FNTA",47,56,1,2,1,0,10,0,1,2,0,0,66,8,4,230,40
"HGSNAT",23,30,2,5,2,0,8,1,1,1,1,10,30,25,6,148,24
"SPIDR",10,11,1,1,0,0,1,0,0,0,0,0,17,5,2,46,5
"CEBPD",61,134,1,11,0,0,15,0,6,1,4,1,174,28,2,428,14
"PRKDC",26,21,0,0,2,0,3,0,3,0,0,1,29,10,5,218,33
"MCM4",1,8,0,0,3,0,1,0,0,1,0,0,10,1,1,123,6
"UBE2V2",52,102,2,2,2,2,12,0,3,0,0,9,68,32,6,325,44
"RP11-567J20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-567J20.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-770E5.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EFCAB1",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SNAI2",0,124,0,0,0,0,0,0,0,0,0,0,112,0,0,4,6
"PXDNL",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-11C20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PCMTD1",20,32,0,1,2,0,4,2,1,1,0,2,29,6,3,96,41
"RP11-110G21.1",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19,1
"RP11-546K22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-546K22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ST18",13,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1
"FAM150A",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RB1CC1",23,52,0,1,3,0,8,1,4,0,2,1,52,29,14,247,50
"ATP6V1H",112,29,0,2,4,0,7,0,5,2,0,1,27,67,12,236,32
"RGS20",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TCEA1",52,83,0,4,9,3,19,2,6,6,0,6,83,24,25,545,59
"LYPLA1",49,53,0,4,6,2,13,0,3,2,1,4,53,31,11,514,76
"MRPL15",29,41,0,2,2,0,7,0,2,0,0,1,60,5,2,249,54
"SOX17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79
"RP11-53M11.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2
"RP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TMEM68",4,10,1,0,1,0,2,1,1,0,0,0,4,7,1,64,6
"TGS1",3,17,0,0,3,0,5,0,2,0,1,1,9,2,4,104,6
"LYN",136,13,0,10,1,2,3,1,0,1,2,9,16,89,1,238,41
"RPS20",1282,1800,55,119,143,113,792,51,348,53,31,171,1461,1051,376,13987,1515
"PLAG1",2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,11,0
"CHCHD7",50,21,3,5,6,2,9,1,6,1,0,3,30,50,4,363,22
