"","Anti-inflammatory macro/mono","CXCL13+ CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells"
"OSBP",0,0,0,1,1,1,0,6,1,1,1,0,0,0,2,576
"AP000442.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"PATL1",4,4,0,0,0,1,3,8,0,0,2,1,0,0,1,288
"STX3",11,5,0,0,0,1,2,3,1,0,0,0,0,0,0,2150
"AP000640.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"MRPL16",7,2,0,0,0,1,2,18,2,0,0,2,0,0,6,1346
"GIF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"TCN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"MS4A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MS4A6A",268,1,0,0,0,0,0,1,0,0,0,0,0,9,0,15
"MS4A4A",60,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
"MS4A7",193,0,0,0,0,0,0,0,0,0,0,0,0,16,1,8
"MS4A14",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MS4A1",0,0,0,0,0,0,76,0,0,21,0,0,0,0,0,4
"MS4A12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"MS4A8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"MS4A15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"MS4A10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CCDC86",2,0,0,1,0,0,1,2,0,0,1,0,0,0,1,934
"PTGDR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ZP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRPF19",8,6,0,1,6,0,0,24,4,0,3,1,0,0,14,1714
