"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"PLXNC1",40,10,0,5,0,0,0,0,2,1,0,1,4,2,1,0,0,0,2,0,0,2,1,0,0,4,1
"RP11-1105G2.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CEP83",4,8,1,0,0,0,2,2,3,3,0,0,4,3,0,1,1,0,1,0,3,0,2,0,5,86,5
"CEP83-AS1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"TMCC3",5,1,0,4,0,1,0,0,0,0,0,0,4,1,0,0,0,1,2,0,1,0,1,0,1,38,17
"NDUFA12",44,76,5,17,12,8,3,6,15,22,4,5,32,47,13,9,23,3,4,3,87,8,11,4,79,636,200
"NR2C1",5,6,1,1,1,1,0,0,1,2,1,0,5,2,1,1,5,0,0,1,4,0,0,0,5,84,12
"FGD6",5,21,0,0,0,0,0,0,2,0,0,0,0,1,0,4,1,1,0,0,2,0,3,0,2,67,23
"VEZT",10,57,3,2,2,0,3,1,7,4,0,1,22,12,4,3,6,0,4,0,33,1,1,1,18,213,38
"METAP2",32,110,2,14,19,2,5,5,24,15,1,3,49,41,10,11,27,2,4,2,99,4,8,3,61,467,144
"USP44",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NTN4",0,15,0,0,0,0,0,1,2,0,0,0,0,1,0,0,3,2,1,0,47,0,0,0,1,25,42
"SNRPF",65,113,15,20,23,7,8,10,36,21,6,4,83,94,25,20,51,2,17,7,84,4,15,2,101,1037,140
"AMDHD1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HAL",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LTA4H",83,21,0,5,5,2,1,0,5,6,0,2,27,4,4,6,5,1,1,2,22,1,10,0,19,152,43
"ELK3",3,45,0,4,3,0,3,1,6,4,0,0,14,15,0,1,8,0,0,2,24,2,5,1,23,35,147
"CDK17",6,18,3,0,12,2,4,1,3,4,0,2,9,21,7,2,8,1,5,6,15,3,0,0,23,47,62
"CFAP54",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,3,5
"NEDD1",2,12,0,0,0,1,0,2,2,2,0,0,1,10,0,1,4,0,0,0,7,0,1,3,10,42,8
"RP11-181C3.1",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,4,0
"TMPO-AS1",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2
"TMPO",12,17,1,3,3,2,2,1,4,10,2,1,10,10,2,3,6,1,2,0,7,3,0,5,19,180,20
"SLC25A3",162,382,15,50,47,11,13,21,85,71,11,10,138,170,36,23,84,4,22,19,366,18,41,5,256,2031,402
"IKBIP",19,107,0,5,3,0,1,2,11,0,0,0,5,6,1,5,2,0,0,0,72,2,4,0,9,26,70
"APAF1",3,5,1,0,1,0,0,1,1,2,0,0,5,0,2,3,3,1,0,1,5,0,2,0,5,50,13
"ANKS1B",0,1,0,0,4,0,0,0,0,5,0,0,0,3,1,0,1,0,1,0,0,1,0,3,11,0,0
"UHRF1BP1L",9,11,1,3,4,1,0,0,1,3,0,0,6,5,2,1,2,0,0,0,10,0,1,3,16,25,6
"ACTR6",6,15,2,0,2,1,2,1,3,2,2,0,12,11,2,1,3,1,1,0,5,0,2,0,11,83,15
"DEPDC4",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0
"SCYL2",12,27,3,2,2,1,2,2,3,4,2,1,16,11,3,3,6,2,1,3,15,2,0,3,12,154,34
"NR1H4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
"GAS2L3",7,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,85,13
"ANO4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
"SLC5A8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"UTP20",3,3,0,0,2,0,0,1,1,0,0,0,5,1,0,0,1,0,1,0,6,0,0,0,5,62,15
"ARL1",20,127,0,3,4,0,0,9,24,6,2,1,16,5,3,1,5,0,0,1,53,5,3,2,25,306,73
"CHPT1",29,38,2,9,5,1,2,5,16,3,2,0,76,9,5,29,5,0,0,0,17,3,9,0,7,419,10
"SYCP3",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"GNPTAB",20,29,3,6,9,2,0,0,3,3,2,1,14,12,7,2,3,3,4,3,10,3,2,1,20,63,25
"DRAM1",62,79,0,3,1,0,1,2,13,2,1,0,6,1,1,1,1,0,1,1,10,0,13,0,3,63,24
"RP11-554E23.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC53",22,38,2,0,6,0,2,1,14,8,0,1,12,15,4,1,4,0,4,0,30,1,3,1,32,163,33
"RP11-554E23.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUP37",6,12,0,1,2,0,0,0,8,2,0,1,5,2,2,0,0,0,1,0,14,1,1,0,14,87,15
"PARPBP",1,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,1,0,1,4,37,2
"PMCH",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,4
"RP11-210L7.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGF1",3,6,0,1,0,0,0,0,119,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,5,0
"PAH",2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,119,1
"C12orf42",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,2,0,0,0,0,0,0,0,0,0,0
"RP11-341G23.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NT5DC3",1,6,0,1,0,0,0,1,1,0,0,0,4,1,0,0,1,0,0,0,2,0,0,0,1,42,0
"HSP90B1",289,539,11,44,31,4,6,37,153,23,6,12,73,83,32,16,42,3,11,50,395,80,73,3,106,2087,573
"C12orf73",2,1,2,0,1,0,0,1,4,0,0,0,0,2,0,0,1,0,1,0,4,0,0,0,4,73,6
"TDG",25,34,6,17,17,0,2,2,10,14,1,3,31,34,5,4,14,1,4,2,33,1,7,0,66,270,49
"GLT8D2",0,133,0,1,0,0,0,2,23,1,0,0,0,0,0,1,0,0,0,0,27,1,0,0,1,3,20
"HCFC2",2,15,0,0,0,0,0,0,7,1,1,0,3,3,2,1,0,0,1,0,5,0,0,0,7,17,8
"NFYB",3,43,0,0,4,1,0,3,5,3,0,0,8,4,8,2,3,0,1,1,17,2,3,0,13,104,22
"TXNRD1",26,20,1,4,3,1,1,1,6,4,0,0,7,15,3,8,3,0,0,4,14,3,6,1,13,188,44
"RP11-818F20.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"EID3",10,8,0,0,2,0,0,1,1,1,0,4,4,9,4,1,3,0,1,0,1,0,3,0,13,41,7
"CHST11",41,36,4,6,10,6,4,1,9,13,1,3,20,37,5,2,13,0,7,4,36,0,7,1,69,13,20
"SLC41A2",13,7,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,0,4,0,10,14,3
"C12orf45",13,11,0,3,1,1,2,2,5,1,0,0,6,4,2,1,5,0,0,15,8,1,2,0,20,102,17
"ALDH1L2",0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
"RP11-61E11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-61E11.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
