"","GSM2359397","GSM2359398","GSM2859440","GSM2859469","GSM2859498","GSM2859413","GSM2859441","GSM2859470","GSM2859499","GSM3109311","GSM3109312","GSM3109313","GSM3109314","GSM3109315","GSM3319754","GSM3319755","GSM3319793","GSM3319794","GSM3319828","GSM3319829","GSM3319863","GSM3319864"
"55577",1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1
"5238",1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
"8705",0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1
"9487",0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1
"10317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"162417",0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
"43",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"6572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84002",1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"570",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"3141",0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1
"54187",0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1
"140679",0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"26503",1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0
"54",1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
"8424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51205",1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
"53630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140838",0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1
"622",0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0
"36",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0
"34",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
"84129",0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0
"23743",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"80724",1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0
"635",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27034",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0
"10599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28976",0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1
"1244",1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
"35",1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0
"3712",0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1
"1607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8714",1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"28234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"644",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"1468",1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1
"8402",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1
"64849",0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"645",1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1
"9488",0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1
"1610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10380",1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
"686",1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0
"1645",1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
"2745",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0
"1109",1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"8884",0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0
"80704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51022",1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1
"51733",0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"7108",1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1
"6718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8528",1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"6510",0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1
"50814",1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1
"3295",1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1
"6307",0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1
"6509",0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1
"1632",1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1
"56301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"492",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10455",1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1
"490",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"6520",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"1633",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"211",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
"493",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"6319",0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
"9415",0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
"491",1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
"23464",0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1
"3992",0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0
"212",0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
"8694",1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
"847",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"84649",1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
"1716",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"6546",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"6547",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"54407",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"6541",0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1
"6543",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6515",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"84889",0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"6517",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
"81539",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"340024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6513",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
"55089",0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"1718",0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1
"2538",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92579",1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
"1373",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
