"","ImmProt_T8.EM_01","ImmProt_T8.EM_02","ImmProt_T8.EM_03","ImmProt_T8.EM_04","ImmProt_T8.EM_01_activated","ImmProt_T8.EM_02_activated","ImmProt_T8.EM_03_activated","ImmProt_T8.EM_04_activated"
"4017",NA,NA,NA,NA,NA,NA,NA,NA
"84105",1,0,1,0,1,0,1,1
"25830",NA,NA,NA,NA,NA,NA,NA,NA
"84569",NA,NA,NA,NA,NA,NA,NA,NA
"4025",NA,NA,NA,NA,NA,NA,NA,NA
"54995",0,1,1,1,1,0,1,0
"93492",NA,NA,NA,NA,NA,NA,NA,NA
"1267",1,1,0,0,1,0,1,1
"10249",0,0,0,0,0,0,0,0
"1573",NA,NA,NA,NA,NA,NA,NA,NA
"1580",NA,NA,NA,NA,NA,NA,NA,NA
"199974",NA,NA,NA,NA,NA,NA,NA,NA
"260293",NA,NA,NA,NA,NA,NA,NA,NA
"1555",NA,NA,NA,NA,NA,NA,NA,NA
"1549",NA,NA,NA,NA,NA,NA,NA,NA
"57834",NA,NA,NA,NA,NA,NA,NA,NA
"29785",0,0,0,0,0,1,0,0
"1215",1,0,0,1,0,0,0,0
"1357",NA,NA,NA,NA,NA,NA,NA,NA
"93979",NA,NA,NA,NA,NA,NA,NA,NA
"57094",NA,NA,NA,NA,NA,NA,NA,NA
"1358",NA,NA,NA,NA,NA,NA,NA,NA
"7177",0,0,0,0,0,0,0,0
"64499",0,0,0,0,0,0,0,0
"23430",NA,NA,NA,NA,NA,NA,NA,NA
"1636",1,0,0,0,0,0,0,0
"9365",NA,NA,NA,NA,NA,NA,NA,NA
"9331",NA,NA,NA,NA,NA,NA,NA,NA
"7368",1,0,0,0,0,0,0,0
"5315",1,1,1,1,1,1,1,1
"1666",0,0,0,0,0,0,0,0
"874",1,1,0,0,1,0,1,0
"10901",0,1,1,1,1,1,0,1
"126410",1,0,1,1,1,1,0,1
"2053",1,1,1,0,0,0,1,0
"8897",1,0,0,1,1,0,0,1
"8898",0,1,0,0,1,0,1,0
"9152",NA,NA,NA,NA,NA,NA,NA,NA
"9497",0,1,0,1,0,0,1,1
"115584",NA,NA,NA,NA,NA,NA,NA,NA
"6575",NA,NA,NA,NA,NA,NA,NA,NA
"6574",1,1,1,1,0,0,1,1
"142680",NA,NA,NA,NA,NA,NA,NA,NA
"6534",NA,NA,NA,NA,NA,NA,NA,NA
"3293",NA,NA,NA,NA,NA,NA,NA,NA
"1622",1,1,1,1,1,1,1,1
"225",0,1,1,0,1,0,1,0
"28965",NA,NA,NA,NA,NA,NA,NA,NA
"23205",0,0,0,0,0,0,0,0
"26061",1,0,1,0,1,0,1,0
"54716",NA,NA,NA,NA,NA,NA,NA,NA
"6564",NA,NA,NA,NA,NA,NA,NA,NA
"113235",0,0,0,0,0,0,0,0
"1200",1,1,1,1,1,1,1,1
"2168",0,0,0,0,0,1,0,0
"51056",1,1,1,1,1,1,1,1
"9390",NA,NA,NA,NA,NA,NA,NA,NA
"5184",1,1,1,1,1,1,1,1
"4891",NA,NA,NA,NA,NA,NA,NA,NA
"30061",NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA,NA,NA,NA
"4524",0,0,1,1,1,0,0,0
"25796",1,1,1,1,1,1,1,1
"28982",0,0,0,0,1,0,0,1
"6120",0,1,1,0,1,0,1,0
"10864",NA,NA,NA,NA,NA,NA,NA,NA
"9376",NA,NA,NA,NA,NA,NA,NA,NA
"9356",NA,NA,NA,NA,NA,NA,NA,NA
"348932",NA,NA,NA,NA,NA,NA,NA,NA
"120103",NA,NA,NA,NA,NA,NA,NA,NA
"1080",NA,NA,NA,NA,NA,NA,NA,NA
"85320",NA,NA,NA,NA,NA,NA,NA,NA
"222962",NA,NA,NA,NA,NA,NA,NA,NA
"10351",NA,NA,NA,NA,NA,NA,NA,NA
"9429",NA,NA,NA,NA,NA,NA,NA,NA
"55867",NA,NA,NA,NA,NA,NA,NA,NA
"364",NA,NA,NA,NA,NA,NA,NA,NA
"89872",NA,NA,NA,NA,NA,NA,NA,NA
"360",NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA
"125206",NA,NA,NA,NA,NA,NA,NA,NA
"200010",NA,NA,NA,NA,NA,NA,NA,NA
"6524",NA,NA,NA,NA,NA,NA,NA,NA
"159963",NA,NA,NA,NA,NA,NA,NA,NA
"55065",0,1,0,0,1,0,0,1
"79581",0,1,0,0,1,0,0,1
"3767",NA,NA,NA,NA,NA,NA,NA,NA
"6833",NA,NA,NA,NA,NA,NA,NA,NA
"10060",NA,NA,NA,NA,NA,NA,NA,NA
"3764",NA,NA,NA,NA,NA,NA,NA,NA
