"","GSM1209577","GSM1209578","GSM1209579","GSM1209580","GSM2257343","GSM2257344","GSM2460435","GSM2460439","GSM2460443","GSM2460447","GSM2460451","GSM2460455","GSM2607426","GSM2607427","GSM2607428","GSM2607429","GSM2607430","GSM2607431"
"4126",0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
"8706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84002",0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1
"3141",1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1
"140679",0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1
"8424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"23743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1244",1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0
"8714",1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
"28234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645",1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1
"644",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"9488",0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1
"10380",1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1
"686",1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1
"8884",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"80704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51733",1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0
"7108",0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1
"50814",0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1
"3295",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"6307",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"493",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"490",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"847",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6543",1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1
