"","GSM662182","GSM662183","GSM662190","GSM662212","GSM662213","GSM662214","GSM662215","GSM662216","GSM662217","GSM662218","GSM2086285","GSM2086286","GSM2086287","GSM2086288","GSM2086289","GSM2086290"
"8402",0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1
"64849",0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1
"645",1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1
"9488",1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
"1610",0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0
"10380",1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1
"686",0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1
"1645",0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0
"2745",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8884",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"80704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51022",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51733",1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0
"7108",1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1
"6718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6510",1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0
"50814",0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0
"3295",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6307",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6509",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1632",0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0
"56301",1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1
"492",0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0
"10455",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"490",1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0
"6520",1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0
"1633",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"211",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"493",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6319",1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0
"9415",1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0
"491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23464",0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0
"3992",1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0
"212",0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0
"8694",1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0
"847",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1716",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54407",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6541",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
"6543",1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1
"6515",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81539",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"340024",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6513",0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0
"55089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1718",1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0
"2538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57818",0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0
"92579",0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
"1373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"873",0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1
"11254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84706",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1717",0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0
"2875",1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0
"8560",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10423",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"123099",0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
"92745",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10991",0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0
"1040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11309",0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1
"8760",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"284273",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"6783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1723",0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0
"10327",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10390",1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0
"56994",1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0
"1807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64781",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8854",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1808",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10087",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23539",1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0
"6565",1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
"9023",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0
"501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2224",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1103",0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1
"29958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60386",0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"223",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162466",0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
"84920",0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"5130",0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0
"9468",1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1
"6579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1
"219",1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
"79087",1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1
"239",0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"6555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6554",1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0
"26002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1621",1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0
"8647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7299",0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0
"55349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6530",1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1
"246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6531",1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0
"6581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240",1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1
"231",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8574",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23600",1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0
"1119",0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0
"1120",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
