"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Fibroblasts","Follicular CD4 Tcells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-713P17.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0
"JAM3",0,15,0,0,0,11,0,0,1,0,0,0,0,0,11,0,0,4,34,3
"NCAPD3",19,4,0,1,0,2,0,0,5,6,2,1,0,1,10,2,5,180,11,1
"VPS26B",28,10,1,1,0,10,1,1,3,7,3,1,2,1,5,5,3,243,21,1
"THYN1",80,18,3,5,2,61,7,0,21,13,7,6,1,3,23,24,33,612,41,7
"ACAD8",13,6,0,0,0,7,0,2,1,1,1,1,0,0,9,1,6,152,13,1
"GLB1L2",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,122,0,0
"B3GAT1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"AP004550.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-469N6.1",0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0
"ZMYND11",29,24,2,1,0,23,0,0,5,3,3,1,0,0,15,6,14,278,28,3
"DIP2C",6,15,0,0,0,10,0,0,0,1,0,1,0,0,4,0,0,55,4,1
"PRR26",0,2,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,270,1,0
"LARP4B",54,8,1,0,0,7,1,0,2,1,1,0,0,0,8,11,6,414,16,0
"RP11-363N22.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"GTPBP4",44,17,1,0,1,15,0,3,7,6,1,5,1,2,15,19,18,755,29,2
"IDI2-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0
"IDI1",65,10,1,8,0,22,3,1,20,17,6,12,1,17,18,21,30,2251,40,1
"WDR37",23,6,2,0,0,5,0,0,5,2,2,4,0,1,3,6,2,142,18,0
"ADARB2",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0
"PFKP",51,36,4,3,2,12,2,2,5,8,3,7,3,20,14,15,17,1612,58,1
"PITRM1",21,16,1,0,0,5,0,0,2,0,3,0,0,4,9,2,5,244,15,4
"PITRM1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"RP11-195B3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-184A2.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-184A2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"KLF6",671,259,46,25,13,146,30,3,170,63,50,43,12,4,74,177,226,2917,335,6
"LINC00702",0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,2
"LINC00704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
"AKR1E2",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,2,0
"AKR1C2",0,1,0,0,0,27,0,0,0,0,0,0,0,0,2,0,0,21,0,1
"AKR1C1",38,8,0,0,0,21,0,0,0,0,0,0,0,1,11,2,0,308,5,0
"RP11-499O7.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AKR1C3",60,9,0,0,0,36,3,0,2,2,0,2,0,45,14,2,5,3557,58,1
"AKR1C4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0
"TUBAL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
"NET1",49,31,0,0,0,9,0,0,2,0,1,2,0,5,56,13,1,1378,15,12
"CALML3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP13-463N16.6",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
"RP11-336A10.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"ASB13",14,7,0,0,0,12,0,0,0,0,1,0,0,0,2,3,3,151,4,2
"FAM208B",21,15,0,1,2,18,1,0,3,2,3,0,1,0,9,7,5,333,10,0
"GDI2",340,139,5,6,2,133,9,4,31,25,16,17,1,31,80,89,61,2858,141,6
"RP11-318E3.9",2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0
"ANKRD16",4,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,12,2,0
"FBXO18",43,21,2,1,0,27,1,0,6,4,4,2,0,0,10,8,10,155,21,1
"RP11-536K7.3",4,13,0,0,0,9,0,0,0,0,0,0,0,0,4,2,0,4,13,0
"IL15RA",22,28,2,0,1,16,1,0,4,0,1,0,0,1,5,10,6,146,21,0
"IL2RA",85,2,0,11,0,0,1,1,4,0,4,3,0,0,2,12,198,15,0,0
"RBM17",139,54,0,4,0,64,4,1,22,13,6,10,2,4,39,47,46,1264,81,7
"PFKFB3",112,20,0,2,0,2,0,0,7,2,4,2,0,2,9,54,18,113,14,0
"RP11-563J2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
"RP11-563J2.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
"PRKCQ",0,0,2,2,1,0,1,0,4,3,2,2,0,0,0,0,5,0,0,0
"RP11-554I8.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SFMBT2",34,0,0,0,0,1,0,0,2,3,0,3,0,0,0,5,2,3,7,0
"RP5-1031D4.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITIH5",0,9,0,0,0,109,0,0,0,0,0,0,0,0,12,1,0,6,95,2
"KIN",31,15,2,2,0,10,2,0,4,3,0,6,0,1,11,14,13,358,17,1
"ATP5C1",382,162,4,12,3,102,12,7,41,41,16,21,4,53,105,118,84,3254,185,12
"TAF3",49,13,6,1,1,12,2,1,11,6,5,6,0,0,9,6,20,239,25,3
"GATA3",2,1,1,2,3,2,8,0,21,13,5,3,0,0,0,0,60,5,0,0
"SFTA1P",0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,1,0
"CELF2",222,9,8,17,10,63,8,6,43,44,23,25,5,3,1,100,109,137,2,0
"RP3-323N1.2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"USP6NL",10,1,0,0,0,2,0,0,0,0,0,0,0,1,2,9,0,127,3,0
"RP11-138I18.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"ECHDC3",17,2,0,0,0,7,0,0,0,0,0,0,0,0,5,10,0,4,4,2
"PROSER2",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"PROSER2-AS1",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"UPF2",99,23,3,6,4,17,5,2,23,17,7,10,1,2,22,26,35,645,52,4
"DHTKD1",10,4,0,0,0,2,1,0,2,0,1,0,0,0,1,0,3,90,6,1
"SEC61A2",1,2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,59,7,0
"NUDT5",95,49,3,8,0,50,3,0,13,21,4,9,1,23,27,23,53,1326,73,1
"CDC123",79,50,1,2,0,34,5,2,19,14,5,7,0,9,22,26,28,1292,66,0
"RP11-186N15.3",0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CAMK1D",33,4,0,0,1,5,0,0,2,0,0,2,0,0,3,11,2,41,9,0
"CCDC3",0,11,1,0,1,7,0,0,0,0,0,0,0,0,42,0,0,11,51,2
"OPTN",83,79,9,2,5,86,8,2,23,25,8,10,2,25,50,27,62,2268,91,6
"MCM10",2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,86,1,0
"PHYH",49,19,1,2,0,33,0,0,5,5,1,4,0,3,4,2,4,81,17,0
"SEPHS1",19,8,1,0,0,9,1,1,2,1,0,2,0,0,9,3,8,362,17,0
"BEND7",0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,3,20,7,1
"PRPF18",45,11,2,2,1,14,3,0,5,5,4,3,0,3,12,17,10,358,20,0
"RP11-295P9.13",3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,1,0
"FRMD4A",48,15,0,0,0,8,1,0,0,0,0,0,0,0,21,1,0,50,49,2
"RP11-295P9.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"FAM107B",64,19,5,7,1,31,10,1,18,12,11,10,2,2,7,22,32,293,3,3
"CDNF",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,2,0
"HSPA14",23,6,0,1,1,13,1,0,5,6,0,2,1,1,11,10,12,399,20,1
"RP11-398C13.6",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,21,0,0
"SUV39H2",3,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,69,5,0
"DCLRE1C",13,4,1,0,0,8,1,0,5,2,0,5,0,0,3,1,12,211,7,0
"MEIG1",2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22,0,0
"OLAH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACBD7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RPP38",41,11,0,4,0,14,1,1,5,1,1,2,0,0,9,6,9,477,17,1
"NMT2",12,7,0,0,0,11,2,1,6,7,2,6,0,0,5,1,26,29,6,0
"FAM171A1",4,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,178,33,0
"RP11-25G10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ITGA8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0
"FAM188A",25,8,0,1,0,5,1,1,4,1,2,1,1,0,9,1,0,239,14,2
"PTER",30,12,0,0,0,5,0,0,4,1,1,2,0,1,4,5,11,366,7,0
"RSU1",126,45,1,2,0,25,3,2,11,4,3,7,0,7,70,36,29,435,102,10
"CUBN",0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6,18,0
