"","x"
"145553",0
"646480",-1
"2170",0
"64419",2
"54988",0
"55613",0
"341392",-1
"138639",0
"9562",0
"123876",0
"3705",0
"6296",0
"138429",0
"348158",0
"344967",-1
"10170",0
"9249",1
"220074",0
"51099",1
"154141",1
"1733",0
"253558",1
"64748",0
"23175",2
"1735",0
"1734",0
"27284",0
"6819",0
"84513",1
"79948",0
"84274",0
"9890",0
"84787",0
"79813",0
"64900",0
"9663",2
"9757",0
"196051",0
"9869",1
"85465",1
"23646",0
"122618",0
"29072",2
"201164",2
"590",0
"80854",0
"55750",0
"387893",0
"84444",0
"4297",0
"91012",1
"204219",0
"10715",1
"58508",1
"253782",0
"55870",2
"29956",2
"10919",0
"6839",2
"79603",0
"64324",1
"56624",1
"6419",0
"170384",1
"23067",2
"56886",2
"54904",1
"2526",1
"152586",0
"148789",0
"200810",-1
"55624",0
"64754",1
"56983",2
"79723",0
"644378",-1
"55904",0
"644974",-1
"8702",1
"9739",0
"8473",2
"55830",2
"7468",0
"3703",2
"83852",0
"8085",0
"283358",0
"51111",0
"55757",0
"60559",2
"23478",2
"146664",0
"28972",2
"2529",0
"360203",-1
"90701",0
"9789",2
"57171",0
"4249",0
"25834",0
"7837",1
"140687",0
"137902",0
"8708",0
"9677",0
"23262",2
"201595",0
"26007",0
"83468",0
"158584",0
"84752",1
"283209",1
"145173",1
"23491",1
"124872",0
"84750",0
"221223",0
"338707",0
"1066",0
"1208",1
"146802",0
"168391",0
"55244",0
"345274",-1
"116085",0
"8707",1
"123688",0
"51228",2
"51171",1
"284004",0
"79411",0
"51741",1
"27090",1
"129807",0
"441282",-1
"2524",0
"10202",0
"2527",0
"10553",2
"121214",0
"374875",0
"2528",0
"113612",0
"56898",0
"493869",0
"1487",2
"64174",0
"100288072",-1
"64180",1
"93517",0
"10728",2
"84869",1
"340811",-1
"91179",0
"133121",0
"11102",2
"85007",0
"250",0
"8644",1
"10826",0
"251",0
"266740",0
"200931",0
"3930",2
"123264",0
"10941",0
"79799",0
"4645",0
"5446",0
"4864",0
"506",2
"3069",1
"10632",2
"515",2
"10476",2
"513",2
"522",2
"539",2
"9551",2
"516",2
"509",2
"518",2
"27109",0
"514",2
"4905",2
"517",0
"521",2
"498",2
"267020",-1
"27089",2
"10975",2
"7381",2
"4519",-1
