"","ImmProt_T4.naive_01","ImmProt_T4.naive_02","ImmProt_T4.naive_03","ImmProt_T4.naive_04","ImmProt_T4.naive_01_activated","ImmProt_T4.naive_02_activated","ImmProt_T4.naive_03_activated","ImmProt_T4.naive_04_activated"
"1854",1,1,1,1,1,1,1,1
"10682",0,0,0,0,1,1,1,1
"9058",NA,NA,NA,NA,NA,NA,NA,NA
"276",1,1,1,1,1,1,1,1
"278",NA,NA,NA,NA,NA,NA,NA,NA
"1892",1,1,1,1,1,1,1,1
"549",0,0,0,1,0,1,1,0
"11136",NA,NA,NA,NA,NA,NA,NA,NA
"6519",NA,NA,NA,NA,NA,NA,NA,NA
"1962",0,1,1,0,0,0,0,0
"280",1,1,1,1,1,1,1,1
"6576",1,1,1,1,1,1,1,1
"1891",1,1,1,1,1,1,1,1
"1160",NA,NA,NA,NA,NA,NA,NA,NA
"11001",0,0,0,0,0,1,1,0
"1159",1,0,0,0,0,0,0,0
"548596",1,0,0,0,0,0,0,0
"1152",0,0,0,0,1,1,1,0
"1158",0,0,1,0,0,0,1,0
"5172",NA,NA,NA,NA,NA,NA,NA,NA
"65010",NA,NA,NA,NA,NA,NA,NA,NA
"10998",NA,NA,NA,NA,NA,NA,NA,NA
"113451",NA,NA,NA,NA,NA,NA,NA,NA
"53919",NA,NA,NA,NA,NA,NA,NA,NA
"9057",1,0,1,1,1,0,0,0
"384",1,0,0,0,0,1,0,0
"28231",NA,NA,NA,NA,NA,NA,NA,NA
"54675",NA,NA,NA,NA,NA,NA,NA,NA
"10257",0,1,0,0,1,1,1,0
"10559",0,0,1,0,1,1,0,0
"445",1,1,1,1,1,1,1,1
"28232",NA,NA,NA,NA,NA,NA,NA,NA
"55907",1,1,1,1,1,1,1,1
"2108",1,1,1,1,1,1,1,1
"8034",0,0,0,0,1,0,1,1
"2109",1,1,1,1,1,1,1,1
"83884",NA,NA,NA,NA,NA,NA,NA,NA
"10166",0,0,0,0,1,1,0,0
"8824",NA,NA,NA,NA,NA,NA,NA,NA
"410",1,1,1,1,1,0,0,0
"2110",0,0,0,0,1,0,1,0
"51805",0,0,0,0,1,1,1,0
"55500",0,0,0,0,0,1,1,1
"427",1,1,0,1,0,0,0,0
"55224",NA,NA,NA,NA,NA,NA,NA,NA
"51004",0,1,0,1,1,1,0,0
"10229",1,1,1,1,1,0,0,0
"9962",NA,NA,NA,NA,NA,NA,NA,NA
"2181",0,0,0,1,0,0,1,1
"9245",NA,NA,NA,NA,NA,NA,NA,NA
"2650",0,0,0,0,1,1,0,0
"51301",0,0,0,0,1,1,0,0
"2182",0,0,0,0,1,1,1,0
"9963",NA,NA,NA,NA,NA,NA,NA,NA
"2180",0,0,0,0,1,1,1,1
"192134",NA,NA,NA,NA,NA,NA,NA,NA
"386757",NA,NA,NA,NA,NA,NA,NA,NA
"80150",0,0,0,0,1,1,0,0
"51703",0,0,0,1,1,1,0,1
"81616",NA,NA,NA,NA,NA,NA,NA,NA
"23305",0,0,0,0,0,0,1,0
"440",0,0,0,0,1,1,1,1
"6535",NA,NA,NA,NA,NA,NA,NA,NA
"1384",1,1,1,1,0,1,0,0
"116285",NA,NA,NA,NA,NA,NA,NA,NA
"6583",1,1,1,1,1,1,1,1
"5167",0,0,0,0,0,1,1,0
"790",1,1,1,1,1,1,1,1
"5169",1,1,1,1,1,1,1,1
"54898",NA,NA,NA,NA,NA,NA,NA,NA
"6511",NA,NA,NA,NA,NA,NA,NA,NA
"1431",1,1,1,1,1,1,1,1
"6785",NA,NA,NA,NA,NA,NA,NA,NA
"6505",NA,NA,NA,NA,NA,NA,NA,NA
"54677",0,1,0,1,1,0,0,0
"60481",0,0,0,0,0,1,1,1
"6507",1,1,1,1,1,1,1,1
"79071",NA,NA,NA,NA,NA,NA,NA,NA
"1579",NA,NA,NA,NA,NA,NA,NA,NA
"6512",NA,NA,NA,NA,NA,NA,NA,NA
"2194",0,0,0,0,1,1,1,1
"6506",1,1,1,1,1,1,1,1
"376497",0,1,1,1,0,0,0,0
"10999",0,0,0,0,1,1,1,1
"525",NA,NA,NA,NA,NA,NA,NA,NA
"11000",1,1,1,1,0,0,0,0
"230",1,1,1,1,1,1,1,1
"226",1,1,1,1,1,1,1,1
"527",0,1,1,1,0,0,0,1
"8140",0,0,0,0,1,1,1,1
"229",1,1,1,1,1,1,1,1
"23545",0,0,0,0,1,1,1,1
"5207",NA,NA,NA,NA,NA,NA,NA,NA
"526",1,1,1,1,1,1,1,1
"23428",NA,NA,NA,NA,NA,NA,NA,NA
"5208",1,0,0,0,1,1,0,0
"1036",NA,NA,NA,NA,NA,NA,NA,NA
"245973",NA,NA,NA,NA,NA,NA,NA,NA
"5210",0,0,0,0,0,0,1,0
"8789",1,1,1,0,0,0,0,0
"5209",0,0,0,0,0,1,0,0
"124935",0,1,0,0,0,0,0,0
"2203",1,1,1,1,0,0,0,0
"2235",1,1,1,1,1,1,1,1
"23657",0,0,0,0,0,0,1,0
"57379",1,1,1,1,1,1,1,1
"2629",0,0,0,0,1,1,1,0
"10840",NA,NA,NA,NA,NA,NA,NA,NA
"26301",NA,NA,NA,NA,NA,NA,NA,NA
"79901",1,0,0,1,0,0,0,0
"978",0,0,0,0,0,0,1,0
"7371",0,0,0,0,1,1,1,1
"83549",0,1,1,1,1,0,0,0
"7915",1,1,1,1,0,0,0,0
"125061",0,0,0,0,0,0,1,0
"4329",1,1,1,1,1,1,1,0
"51727",1,1,1,1,1,1,1,1
"1719",0,0,0,0,1,1,1,1
"129607",0,1,1,1,0,0,0,0
"2356",0,0,0,0,1,1,1,1
"2731",1,1,1,1,1,1,1,1
"29988",1,1,1,1,1,1,1,1
"275",1,0,0,1,1,0,0,1
"2653",0,0,0,0,1,1,0,0
"1609",0,1,0,0,0,1,0,1
"155184",NA,NA,NA,NA,NA,NA,NA,NA
"2651",NA,NA,NA,NA,NA,NA,NA,NA
"6514",NA,NA,NA,NA,NA,NA,NA,NA
"6518",1,0,0,1,0,0,0,0
"8525",1,1,0,1,0,0,0,0
"66035",NA,NA,NA,NA,NA,NA,NA,NA
"55343",NA,NA,NA,NA,NA,NA,NA,NA
"7264",1,1,0,1,1,1,1,1
"160428",NA,NA,NA,NA,NA,NA,NA,NA
"8836",0,0,0,0,1,1,1,0
"4522",1,1,1,1,1,1,1,1
"25902",0,0,0,0,1,1,1,1
"1608",1,0,0,0,1,0,0,0
"79017",0,0,0,0,1,1,1,1
"2519",0,1,0,0,1,1,1,0
"2997",0,0,0,0,1,1,1,0
"160851",1,1,0,1,0,0,1,0
"9162",NA,NA,NA,NA,NA,NA,NA,NA
"2184",0,0,0,0,1,1,1,1
"8527",1,1,1,1,1,1,1,1
"8908",NA,NA,NA,NA,NA,NA,NA,NA
"2271",1,1,1,1,1,1,1,1
"2992",0,0,0,1,1,1,1,1
"2523",NA,NA,NA,NA,NA,NA,NA,NA
"8526",0,1,0,1,0,1,0,0
"2998",NA,NA,NA,NA,NA,NA,NA,NA
"2525",NA,NA,NA,NA,NA,NA,NA,NA
"2687",NA,NA,NA,NA,NA,NA,NA,NA
"6470",0,0,0,0,1,1,1,1
"1606",1,1,1,1,1,1,1,1
"6472",1,1,1,1,1,1,1,1
"10690",NA,NA,NA,NA,NA,NA,NA,NA
"9334",0,0,0,0,1,1,1,1
"8704",NA,NA,NA,NA,NA,NA,NA,NA
"2717",0,0,0,0,1,1,1,0
"8703",0,0,0,0,1,1,0,0
"2632",0,0,0,1,1,1,1,0
"2683",0,0,0,0,1,1,1,1
"2820",0,0,0,1,1,1,1,0
"5832",0,0,0,0,1,1,1,1
"2990",0,0,0,0,1,0,0,0
"9563",0,1,0,1,0,1,1,0
"8372",0,1,1,1,0,0,0,0
"3290",1,0,0,0,0,0,0,0
"2539",0,0,0,1,0,1,1,1
"3291",NA,NA,NA,NA,NA,NA,NA,NA
"3292",NA,NA,NA,NA,NA,NA,NA,NA
"26035",0,1,0,1,0,0,0,0
"2542",1,1,1,1,1,1,1,1
"2593",0,0,0,0,1,0,1,0
"54480",0,0,0,0,0,1,1,1
"2132",0,0,0,0,1,0,1,0
"7923",0,1,1,1,1,0,0,0
"3294",NA,NA,NA,NA,NA,NA,NA,NA
"2131",0,0,0,0,0,0,0,1
"51478",1,0,1,1,0,0,0,0
"9514",NA,NA,NA,NA,NA,NA,NA,NA
"3283",NA,NA,NA,NA,NA,NA,NA,NA
"2720",0,0,1,1,1,1,1,0
"3284",NA,NA,NA,NA,NA,NA,NA,NA
"27087",NA,NA,NA,NA,NA,NA,NA,NA
"4758",0,0,1,0,1,0,1,0
"80270",0,0,0,0,0,0,1,0
"57026",0,1,0,1,0,1,1,0
"5476",0,0,0,1,1,1,1,1
"135152",NA,NA,NA,NA,NA,NA,NA,NA
"2588",0,0,0,0,1,0,1,0
"26229",1,0,1,0,1,0,1,1
"2581",0,0,1,1,1,0,1,0
"4669",0,1,0,1,1,1,1,0
"3421",1,1,1,1,1,1,1,1
"2583",NA,NA,NA,NA,NA,NA,NA,NA
"55454",0,0,0,0,1,1,0,0
"3420",1,1,1,1,1,1,1,1
"3340",0,1,1,1,0,0,0,0
"8509",1,1,1,1,0,0,1,0
"9348",NA,NA,NA,NA,NA,NA,NA,NA
"55790",0,1,1,1,0,0,0,0
"64579",NA,NA,NA,NA,NA,NA,NA,NA
"3419",1,1,1,1,1,1,1,1
"79586",0,0,0,0,0,0,1,1
"3417",0,0,0,0,1,1,1,0
"2137",NA,NA,NA,NA,NA,NA,NA,NA
"3418",1,1,1,1,1,1,1,1
"22856",0,0,0,0,0,1,1,0
"337876",NA,NA,NA,NA,NA,NA,NA,NA
"7173",NA,NA,NA,NA,NA,NA,NA,NA
"2135",1,1,1,1,1,1,1,1
"2134",NA,NA,NA,NA,NA,NA,NA,NA
