"","GSM565276","GSM565277","GSM565278","GSM565279","GSM565280","GSM814482","GSM814483","GSM814484","GSM814485","GSM1070753","GSM1070754","GSM1070757","GSM1070758","GSM1070761","GSM1070762","GSM1215107","GSM1215109","GSM1215111","GSM1215113","GSM2080663","GSM2080664"
"8528",0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0
"6510",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"50814",0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1
"3295",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"6307",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6509",0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1
"1632",1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
"56301",0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1
"492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10455",0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
"490",1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0
"6520",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1633",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
"211",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"493",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"6319",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"9415",0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
"491",1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1
"23464",0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1
"3992",1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
"212",1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
"8694",0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
"847",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"84649",0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1
"1716",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54407",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6541",0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0
"6543",1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0
"6515",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6517",0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1
"81539",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"340024",1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1
