"","GSM2722357","GSM2722361","GSM2722365","GSM2722369","GSM2722373","GSM2722377","GSM2859422","GSM2859450","GSM2859479","GSM2859514","GSM3355220","GSM3355221","GSM3355222","GSM3355223","GSM3355224"
"6535",1,1,0,0,0,1,1,0,0,1,1,1,0,1,0
"1384",0,0,0,1,0,1,1,0,0,0,1,1,0,0,0
"6583",1,1,0,0,1,1,1,0,0,1,0,1,0,1,0
"1431",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54677",0,0,1,1,1,0,1,0,1,1,0,1,0,1,1
"8140",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23428",0,0,1,1,0,1,0,1,1,0,0,1,1,0,1
"1036",1,0,1,0,1,0,0,0,1,1,1,1,0,0,0
"23657",0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
"57379",0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
"978",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"7371",1,1,1,0,1,1,0,0,1,1,1,1,0,0,0
"83549",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51727",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"129607",0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
"160851",1,0,1,1,0,0,1,0,1,0,0,0,0,1,1
"8526",0,0,1,0,1,0,0,1,1,0,0,0,0,0,1
"1606",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8527",1,1,0,0,1,0,1,1,1,0,1,1,1,0,1
"1607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1608",0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
"1609",0,1,1,1,1,0,1,0,1,0,1,1,0,0,0
"8525",0,0,1,1,1,0,1,0,1,0,1,1,0,0,1
"9162",1,1,0,0,1,1,1,1,1,1,0,1,0,1,1
"1610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51022",1,0,0,0,1,0,0,1,1,1,0,1,0,1,0
"2745",0,0,1,1,0,0,1,1,0,0,0,0,1,1,0
"8528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10455",0,0,1,1,0,1,1,0,1,0,0,1,1,0,0
"1632",0,1,1,0,0,1,1,0,1,0,1,1,1,0,0
"1633",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1638",0,0,1,1,0,0,1,0,1,0,0,1,1,0,0
"6319",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9415",0,1,1,1,1,0,0,0,1,0,1,1,0,0,0
"3992",0,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"8694",0,1,0,1,0,1,1,0,1,0,1,1,0,0,0
"84649",1,0,0,0,1,1,1,1,0,0,1,1,1,0,0
"1716",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6513",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
