"","GSM565281","GSM565282","GSM565283","GSM565284","GSM565285","GSM565286","GSM1070755","GSM1070756","GSM1070759","GSM1070760","GSM1070763","GSM1070764"
"54677",1,0,0,1,0,0,1,0,1,0,1,0
"8140",1,1,1,1,1,1,0,1,1,1,1,1
"23428",1,1,1,0,1,0,0,0,1,0,1,0
"1036",0,0,0,0,0,0,0,0,0,0,0,0
"23657",0,0,0,0,0,1,0,0,1,0,1,1
"57379",0,0,0,0,1,0,0,0,0,0,1,0
"978",1,1,0,0,1,0,1,1,0,1,0,0
"7371",1,1,1,0,1,1,0,1,0,1,0,1
"83549",0,0,0,0,0,0,1,0,1,1,1,0
"51727",1,1,1,1,1,1,1,1,1,1,1,1
"129607",1,1,1,1,1,1,1,0,1,0,1,0
"160851",0,1,1,0,0,1,0,1,0,1,0,1
"8526",0,0,1,1,0,1,0,1,0,1,0,1
"1606",1,1,0,1,1,0,1,0,1,0,1,0
"8527",1,1,1,1,1,1,1,1,1,1,1,1
"1607",0,0,0,0,0,0,0,0,0,0,0,0
"1608",1,1,0,0,0,1,1,1,1,1,0,0
"1609",1,1,0,1,0,1,0,0,1,1,0,0
"8525",0,0,0,1,1,1,0,0,1,0,1,1
"9162",0,0,0,0,0,0,0,0,0,0,0,0
"1610",1,1,1,0,1,1,0,0,1,1,1,1
"51022",1,1,1,1,1,1,1,1,1,1,1,1
"2745",1,1,1,1,1,1,1,1,1,0,1,0
"8528",0,0,1,0,1,1,0,1,0,0,0,0
"10455",1,1,1,1,1,1,1,0,1,0,1,1
"1632",0,1,0,0,1,1,1,0,1,0,1,1
"1633",1,1,1,1,1,1,1,0,1,0,1,0
"1638",0,0,0,0,0,0,0,0,0,0,0,0
"6319",1,0,1,0,1,1,1,1,0,1,0,0
"9415",1,0,0,1,1,0,1,0,1,0,1,0
"3992",1,0,0,0,1,1,1,0,1,0,1,0
"8694",0,1,1,1,0,1,0,0,1,0,1,0
"84649",0,0,0,0,0,0,0,1,0,0,0,1
"1716",1,1,1,1,1,1,1,1,1,1,1,1
"6513",1,1,0,0,1,0,0,1,0,1,0,1
"6517",0,0,0,0,0,0,1,0,0,0,0,0
"6515",1,1,1,1,1,1,1,1,1,1,1,1
"1718",1,1,1,1,1,1,1,0,1,0,1,1
"1581",0,0,0,0,0,0,0,0,0,0,0,0
"1717",1,0,0,0,1,1,1,0,1,0,1,0
"8560",1,1,1,1,1,1,1,1,1,1,1,1
"123099",0,0,0,0,0,0,0,1,0,0,0,1
"11309",0,1,0,0,1,0,1,1,0,1,1,1
"6783",0,0,0,0,0,0,0,0,0,0,0,0
"1723",1,1,1,0,0,1,0,1,0,1,0,1
"1809",1,1,1,1,0,0,0,0,0,1,0,1
"1808",0,0,1,1,1,1,1,0,1,0,1,1
"1807",0,0,0,0,0,0,0,0,0,0,0,0
"23539",0,1,1,0,0,1,0,1,0,1,0,0
"2224",1,1,1,1,1,1,1,1,1,1,1,1
"29958",0,0,0,0,0,0,0,0,0,0,0,0
"60386",0,0,0,0,0,0,0,1,0,1,0,1
"84920",0,0,0,0,0,0,0,1,0,0,0,0
"79087",1,1,0,1,1,0,1,0,0,0,1,0
"26002",0,0,1,0,1,0,1,1,0,1,0,0
"1621",1,0,0,1,0,1,0,1,1,1,1,0
"7299",0,1,0,0,1,1,1,1,0,1,0,0
"6530",0,1,1,1,1,0,1,1,0,0,1,0
"6581",0,0,0,0,0,0,0,0,0,0,0,0
"669",0,1,1,0,1,1,0,1,0,0,1,1
"5224",0,0,1,1,1,0,0,0,0,1,0,0
"5223",1,1,1,1,1,1,1,1,1,1,1,1
"4597",1,0,0,1,1,1,1,1,0,0,1,1
"51071",0,0,0,0,1,1,1,0,1,0,1,0
"1806",1,0,0,1,0,1,1,0,1,0,1,0
"7083",0,0,1,1,1,1,1,0,1,0,1,0
"7084",1,0,0,1,0,0,1,0,1,0,1,0
"1854",1,1,1,1,1,1,1,1,1,1,1,1
"3704",1,1,1,1,1,1,1,1,1,1,1,1
"10682",1,1,1,1,1,1,1,1,1,1,1,1
"1892",1,1,1,1,1,1,1,1,1,1,1,1
"549",1,1,1,1,1,1,1,1,1,1,1,1
"1962",0,0,0,0,0,0,0,0,0,0,0,0
"1891",1,1,1,1,1,1,1,1,1,1,1,1
"11001",1,1,1,1,1,1,1,1,1,1,1,1
"28231",1,1,1,0,1,1,0,1,0,1,0,1
"53919",0,0,0,0,0,0,0,0,0,0,0,0
"10257",1,0,1,0,1,1,0,1,0,1,1,1
"28232",0,0,1,0,0,1,1,0,1,0,1,1
"2109",1,1,1,1,1,1,1,1,1,1,1,1
"2108",1,1,1,1,1,1,1,1,1,1,1,1
"2110",0,0,0,0,0,1,1,0,1,0,1,0
"55500",0,1,1,0,0,1,1,1,1,1,0,0
"55224",1,0,0,1,1,0,1,1,0,1,0,1
"8790",0,0,0,0,1,1,0,0,0,0,1,0
"51086",0,0,0,0,0,0,0,0,0,0,0,0
"2181",0,1,0,0,1,1,0,0,0,0,0,1
"2180",0,1,1,0,0,1,0,1,0,1,1,1
"2182",1,1,0,0,0,1,0,1,0,1,1,1
"81616",1,0,0,0,1,0,0,1,0,1,0,1
"51703",1,1,1,1,1,1,1,1,1,1,1,1
"23305",1,1,0,1,1,0,0,1,0,1,0,1
"116285",0,0,0,1,0,0,0,0,0,1,0,1
"5167",0,0,0,0,0,1,0,0,0,0,1,0
"5169",1,1,1,1,1,1,0,0,0,1,1,0
"6785",0,0,0,0,0,1,1,0,0,0,0,0
"60481",1,1,1,1,1,1,1,1,1,1,1,1
"54898",0,0,0,0,0,0,0,0,0,0,0,0
"79071",0,0,0,0,0,1,1,0,1,0,1,0
"1579",1,1,1,1,1,0,0,1,1,1,0,0
"2194",0,1,1,0,0,1,0,0,0,1,0,1
"10999",1,1,1,1,1,1,0,1,0,1,0,1
"376497",1,1,1,1,1,1,0,0,1,0,1,0
"230",1,1,0,1,1,0,1,1,1,0,1,1
"226",1,1,1,1,1,1,1,1,1,1,1,1
"229",0,0,0,0,0,0,0,0,0,0,0,0
"5208",1,1,1,1,1,0,1,1,0,0,1,0
"5207",1,0,0,0,1,0,1,1,1,1,0,1
"2203",0,1,1,1,0,0,1,1,0,0,0,0
"5210",1,0,0,0,1,0,1,0,0,0,1,1
"5209",1,1,0,1,1,1,0,1,0,1,1,1
"8789",1,1,1,1,1,0,0,1,1,1,0,0
"2235",0,0,0,0,1,1,0,0,1,0,1,0
"10840",1,1,1,0,1,0,0,1,0,1,0,1
"79901",0,0,1,0,1,1,0,0,1,1,1,0
"197258",0,0,0,0,0,0,1,0,1,0,1,0
"125061",0,0,0,0,0,0,0,1,0,1,0,1
"1719",0,1,1,0,1,1,1,0,1,0,1,0
"2356",1,1,1,1,1,1,1,1,1,1,1,1
"155184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29988",1,0,0,1,0,0,0,0,0,1,0,1
