"","GSM900567","GSM900568","GSM900569","GSM900560","GSM900561","GSM900562","GSM1293941","GSM1293942","GSM1293943","GSM1293948","GSM1293949","GSM1293950","GSM2151972","GSM2151974","GSM2151976"
"50814",1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
"3295",1,1,0,1,1,0,0,0,0,1,1,1,0,0,1
"6307",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"493",1,1,1,1,1,1,0,0,0,0,1,1,1,0,1
"492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"491",1,1,0,1,1,0,1,1,1,0,0,0,1,0,0
"490",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"847",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"6543",0,0,1,1,0,1,1,1,1,0,0,0,0,1,1
"6547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166785",1,1,0,1,1,0,1,1,1,1,0,0,0,1,0
"2538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92579",0,0,1,0,0,1,1,1,1,1,0,0,0,0,1
"1373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"873",1,0,0,0,1,1,1,1,1,1,0,0,0,1,0
"10423",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8760",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1040",0,0,1,0,0,1,1,0,0,0,1,1,1,0,0
"56994",1,1,0,0,1,1,0,0,1,1,1,1,0,1,0
"10390",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"64781",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10087",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6565",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"9023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1103",1,1,0,0,0,1,1,1,1,0,0,1,1,0,1
"162466",1,1,0,1,1,0,0,0,0,1,1,0,1,0,1
"9468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5130",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"6579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6555",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"6554",0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
"55349",0,1,1,1,0,1,0,1,1,1,0,0,1,0,1
"1120",0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
"1119",0,0,1,1,1,0,1,1,1,1,0,0,1,0,1
"60482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6582",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"6584",1,0,0,1,1,0,0,0,0,0,1,1,0,0,1
"6820",1,0,0,0,1,1,1,0,0,1,0,0,1,1,0
"10948",0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
"19",0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"1118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54682",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"9058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6576",1,0,0,1,0,0,0,1,1,0,1,1,0,1,1
"1159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"548596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1160",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"1158",1,1,0,1,0,1,0,1,0,1,0,1,1,0,1
"1152",1,1,0,1,1,0,1,1,1,1,0,0,1,1,0
"5172",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"65010",1,0,0,1,1,0,1,1,1,0,0,0,1,0,0
"54675",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"10559",1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
"55907",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"8034",1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
"8824",0,1,0,1,0,0,0,1,0,0,1,0,1,1,0
"51805",1,1,0,0,1,1,1,1,1,1,0,0,0,0,1
"51004",0,1,1,1,1,0,1,0,0,1,0,1,0,1,0
"10229",1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
"2650",0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
"9245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51301",0,1,1,0,1,0,0,0,0,0,1,1,1,0,1
"192134",0,0,1,0,1,1,1,0,1,0,1,0,0,1,0
"386757",0,1,1,1,0,1,0,1,1,1,0,0,1,0,0
"6535",0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
"1384",0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
"6583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1431",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54677",0,0,1,0,0,1,0,0,0,0,1,1,0,1,0
"8140",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"23428",0,1,1,0,0,1,0,0,1,0,1,1,1,1,0
"1036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23657",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"57379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"978",1,0,0,1,1,0,1,0,1,1,0,0,1,0,0
"7371",1,0,0,0,0,1,1,1,1,1,0,0,1,0,0
"83549",0,1,1,0,0,1,0,0,0,0,1,1,1,1,0
"51727",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"129607",0,1,1,1,1,0,1,1,0,1,1,0,1,0,0
"160851",1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
"8526",1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"1606",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8527",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1609",0,1,1,0,0,1,0,0,1,0,1,1,1,0,0
"8525",0,0,1,0,0,1,0,0,0,0,1,1,1,0,1
"9162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51022",1,1,0,0,0,1,1,1,1,1,0,0,1,1,0
"2745",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1
"8528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10455",1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
"1632",0,1,1,0,1,0,0,1,1,0,0,0,0,1,0
"1633",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6319",1,1,0,1,0,1,1,1,1,1,0,0,1,0,0
"9415",1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
"3992",1,1,0,1,1,0,1,1,1,1,0,0,1,0,1
"8694",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"84649",0,1,1,0,0,1,1,1,1,1,0,0,1,0,0
"1716",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6513",1,1,0,1,0,1,1,1,1,0,0,0,1,0,1
"6517",1,0,0,1,1,0,1,0,1,1,0,0,1,0,0
