"","Transcriptomics","Final"
"113612",1,1
"493869",0,0
"64180",0,0
"64174",1,1
"10728",2,1
"11102",0,0
"91179",1,1
"10826",1,1
"266740",0,0
"3930",2,1
"4645",0,0
"3069",0,0
"4864",1,1
"285440",0,0
"79644",0,0
"1646",0,0
"51170",0,0
"51144",0,0
"8630",0,0
"158160",2,1
"83401",0,0
"64834",0,0
"79993",0,0
"401494",0,0
"192286",2,1
"201562",2,1
"9200",0,0
"51495",2,1
"253017",0,0
"9524",0,0
"283985",-1,0
"3995",1,1
"1155",2,1
"114571",0,0
"123096",0,0
"57016",0,0
"55277",0,0
"79707",2,1
"64122",0,0
"9917",2,1
"79672",0,0
"92370",0,0
"390928",-1,0
"93650",0,0
"139596",2,1
"55066",2,1
"283208",0,0
"5033",2,1
"8974",0,0
"58478",2,1
"55256",0,0
"259307",0,0
"81894",2,1
"51312",1,1
"138639",1,1
"23203",2,1
"9896",0,0
"374462",-1,0
"163404",0,0
"22908",2,1
"22876",0,0
"84814",1,1
"51559",1,1
"29085",0,0
"64419",2,1
"145553",0,0
"51496",0,0
"8446",2,1
"9107",2,1
"23371",0,0
"9108",0,0
"55613",0,0
"403313",0,0
"9562",0,0
"3705",0,0
"138429",0,0
"10170",1,1
"9249",1,1
"220074",1,1
"1733",0,0
"1735",0,0
"1734",0,0
"6819",0,0
"27284",0,0
"84274",1,1
"4297",0,0
"55904",2,1
"55870",2,1
"79723",0,0
"79813",1,1
"387893",0,0
"8085",1,1
"58508",1,1
"9869",0,0
"9757",0,0
"80854",0,0
"9739",0,0
"64754",0,0
"84444",1,1
"10919",0,0
"64324",1,1
"23067",2,1
"6839",0,0
"83852",0,0
"54904",2,1
"84787",0,0
"29072",2,1
"7468",1,1
"51111",2,1
"6419",1,1
"90701",2,1
"9789",2,1
"23478",2,1
"28972",2,1
"60559",2,1
"57171",0,0
"4249",2,1
"25834",0,0
"137902",0,0
"7837",0,0
"9677",0,0
"23262",2,1
"26007",1,1
"158584",1,1
"283209",0,0
"23491",0,0
"221223",0,0
"1208",0,0
"55244",0,0
"146802",0,0
"345274",-1,0
"116085",0,0
"123688",0,0
"56898",0,0
"51171",0,0
"84869",0,0
"51741",0,0
"10202",1,1
"1487",2,1
"93517",1,1
"121214",0,0
"10553",2,1
"100288072",-1,0
"374875",0,0
"441282",-1,0
"340811",-1,0
"133121",0,0
"85007",0,0
"250",1,1
"251",0,0
"123264",0,0
"200931",0,0
"10941",1,1
"79799",0,0
"10476",2,1
"518",2,1
"498",2,1
"516",2,1
"522",2,1
"515",2,1
"9551",2,1
"27109",0,0
"267020",-1,0
"509",2,1
"513",2,1
"514",2,1
"517",1,1
"521",2,1
"10632",2,1
"506",2,1
"539",2,1
