"","GSM2859419","GSM2859447","GSM2859476","GSM2859511","GSM3319770","GSM3319879","GSM3319880","GSM3319893","GSM3319899","GSM2302911","GSM2302912","GSM2302915","GSM2302918","GSM2302919","GSM2302922","GSM2302923","GSM2616452","GSM2616676","GSM2616686","GSM2616689","GSM2616692"
"290",0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
"278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"277",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"280",0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0
"6519",1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0
"276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11136",1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"10998",0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1
"113451",0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1
"9057",1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0
"384",0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1
"445",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83884",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10166",0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1
"410",0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0
"427",1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0
"9963",1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"9962",0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
"80150",1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"440",1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1
"790",1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0
"6505",1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
"6512",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6511",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6507",1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6506",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"9296",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"51606",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"533",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0
"90423",0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
"528",1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1
"525",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"10312",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"127124",1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1
"245973",0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"50617",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9114",0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
"23545",0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"8992",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"535",0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1
"527",1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
"526",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"523",1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
"529",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51382",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
