"","ImmProt_mTregs_01","ImmProt_mTregs_02","ImmProt_mTregs_03","ImmProt_mTregs_04","ImmProt_mTregs_01_activated","ImmProt_mTregs_02_activated","ImmProt_mTregs_03_activated","ImmProt_nTregs_01","ImmProt_nTregs_02","ImmProt_nTregs_03","ImmProt_nTregs_04","ImmProt_nTregs_01_activated","ImmProt_nTregs_02_activated","ImmProt_nTregs_03_activated"
"9249",1,0,1,1,1,1,1,0,0,0,0,1,0,1
"220074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6819",1,1,1,1,1,0,0,0,0,0,0,1,1,0
"27284",0,1,1,0,0,1,0,0,1,1,1,1,0,1
"84274",0,1,1,1,1,0,1,0,1,1,1,0,1,0
"4297",0,1,0,1,0,1,1,0,1,1,1,1,1,0
"55904",1,0,1,0,1,1,0,1,0,1,1,0,0,1
"55870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79723",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79813",0,1,0,1,0,1,1,0,1,1,1,0,1,0
"387893",1,1,1,1,1,0,0,1,1,1,1,0,1,0
"8085",0,1,1,1,1,0,0,0,1,1,1,0,1,0
"58508",0,0,1,1,1,1,1,0,1,1,0,0,0,1
"9869",0,1,1,1,0,0,1,0,1,1,0,0,1,0
"9757",0,1,1,1,1,1,0,0,0,0,1,1,1,0
"80854",0,1,1,1,0,1,1,1,1,0,0,1,0,0
"9739",0,1,1,1,0,1,0,0,1,1,1,0,1,0
"64754",0,1,0,1,1,1,1,0,0,1,1,1,0,1
"84444",0,0,0,0,0,0,1,1,0,0,0,1,0,1
"10919",0,1,1,0,0,1,0,0,1,1,1,0,0,1
"64324",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"23067",0,0,0,1,0,1,1,0,1,1,1,1,0,0
"6839",1,1,0,1,0,0,0,0,1,1,1,0,0,1
"83852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84787",0,0,1,0,1,1,1,0,0,1,1,0,1,0
"29072",0,1,1,1,1,1,0,0,1,0,1,0,1,1
"7468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51111",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6419",1,1,0,0,0,1,1,0,1,1,1,0,1,1
"90701",0,1,0,1,1,0,1,0,0,1,0,0,1,1
"9789",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23478",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28972",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"60559",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"57171",0,1,0,1,1,1,1,0,1,1,1,1,0,1
"4249",1,0,1,1,1,1,1,0,1,1,1,1,0,1
"25834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
