"","GSM663126","GSM663130","GSM1511432","GSM1511433","GSM1511434","GSM1511435","GSM1511436","GSM1511437","GSM1906875","GSM1906876","GSM1906877"
"5169",0,0,0,0,0,0,0,0,0,0,0
"6785",1,0,0,0,0,1,1,0,0,1,1
"60481",1,1,1,1,1,1,1,1,1,1,1
"54898",0,0,0,0,0,0,0,0,0,0,0
"79071",0,0,1,0,0,0,1,0,0,0,0
"1579",0,1,1,1,1,0,0,0,1,0,1
"2194",1,0,1,1,0,0,1,1,1,0,0
"10999",1,0,0,1,0,0,0,1,1,0,0
"376497",0,1,0,1,0,1,1,0,0,1,0
"230",0,1,1,0,1,0,1,1,1,1,1
"226",1,1,1,1,1,1,1,1,1,1,1
"229",0,0,0,0,0,0,0,0,0,0,0
"5208",0,0,0,0,0,0,0,0,0,0,0
"5207",0,1,0,1,1,0,0,0,0,1,0
"2203",1,0,0,1,1,0,1,1,1,0,1
"5210",1,0,1,1,0,1,1,0,1,0,0
"5209",1,1,1,1,1,1,1,1,1,1,1
"8789",1,0,0,1,0,1,1,1,0,0,1
"2235",0,1,0,1,0,1,0,1,0,1,1
"10840",1,0,1,1,0,1,0,1,0,0,1
"79901",0,0,0,0,0,0,0,0,0,0,0
"197258",0,1,0,1,1,0,1,0,1,0,0
"125061",1,0,0,1,0,1,1,1,0,1,1
"1719",0,1,1,0,1,1,1,0,1,1,0
"2356",0,1,0,1,1,0,0,0,1,0,0
"155184",0,0,0,0,0,0,0,0,0,0,0
"29988",0,1,1,1,0,0,1,0,0,1,1
"66035",0,1,1,0,0,1,0,1,0,0,1
"6518",0,1,1,1,0,1,0,0,0,1,1
"6514",0,0,0,0,0,0,0,0,0,0,0
"160428",0,0,0,0,0,0,0,0,0,0,0
"25902",0,1,0,0,1,0,1,0,0,1,1
"4522",0,1,0,1,1,1,0,0,1,1,0
"2519",0,1,0,1,1,1,0,0,0,1,0
"2517",1,0,0,0,1,0,1,1,1,0,1
"2184",1,0,0,0,0,1,0,1,1,0,1
"2271",1,0,0,1,0,0,1,1,0,1,0
"2523",0,1,1,1,0,0,0,0,1,0,1
"2525",1,0,1,1,0,0,0,0,1,0,1
"10690",0,0,0,0,0,0,0,0,0,0,0
"2683",1,1,1,1,1,1,1,1,1,1,1
"9334",1,0,1,1,0,0,0,0,0,1,1
"8704",1,0,0,0,1,0,1,1,1,0,0
"8703",1,0,0,0,1,0,0,1,0,1,1
"2820",0,1,1,0,1,1,1,0,1,0,0
"5832",0,1,1,1,1,0,0,0,1,0,0
"9563",0,1,1,0,1,0,1,1,1,1,0
"2539",1,0,1,1,0,0,0,0,1,0,1
"2542",1,0,0,1,0,1,0,1,1,0,0
"2593",1,0,1,0,1,0,1,0,1,0,0
"9514",0,1,1,1,1,0,0,0,0,0,1
"5476",1,1,1,1,1,1,1,1,1,1,1
"2720",1,1,1,0,1,0,1,1,1,1,1
"2588",0,1,1,0,0,1,0,0,1,0,0
"2581",1,1,1,0,1,1,1,1,1,1,1
"2583",0,1,0,1,1,1,1,0,1,1,0
"55454",1,1,1,1,1,1,1,1,1,1,1
"55790",1,1,1,1,1,1,1,1,1,1,1
"79586",1,0,1,1,0,0,1,1,1,0,0
"337876",0,0,0,0,0,0,0,0,0,0,0
"22856",1,1,1,1,1,1,1,1,1,1,1
"63917",1,1,1,1,1,1,1,1,1,1,1
"11226",0,1,0,0,1,0,0,1,0,1,1
