"","GSM2579316","GSM2579320","GSM2579324","GSM2579328","GSM2579332","GSM2579336"
"6580",1,0,1,0,0,0
"55808",1,0,1,1,0,0
"30833",1,1,1,1,1,1
"5251",0,1,0,1,0,0
"56953",1,1,0,1,0,1
"4907",1,0,1,1,1,1
"6476",0,0,0,0,1,1
"5009",1,1,1,1,1,1
"5019",1,1,1,1,1,1
"64064",1,1,1,1,1,1
"1629",0,0,1,1,1,1
"594",1,1,1,1,1,0
"593",1,1,1,1,1,0
"26873",0,0,1,0,0,0
"4942",1,1,1,1,1,1
"7372",0,1,0,0,0,1
"10861",1,0,1,0,0,0
"1811",1,0,0,1,0,0
"1836",0,0,1,0,0,1
"1583",1,1,1,1,1,1
"1584",1,0,0,0,0,0
"1585",1,1,1,1,1,1
"1586",1,0,0,0,0,0
"1588",1,0,0,0,1,0
"1576",1,1,1,1,1,1
"1593",0,1,0,0,0,0
"1548",0,0,0,0,1,1
"1553",1,1,1,1,1,1
"1562",1,1,1,1,1,1
"1558",1,1,1,1,1,1
"1559",1,1,1,1,1,1
"1565",0,0,0,0,1,1
"1572",1,0,0,0,1,0
"51302",1,1,1,1,1,1
"64816",1,1,1,1,1,1
"1577",0,1,1,0,0,0
"1551",0,0,0,1,1,0
"10858",0,0,0,0,0,1
"66002",1,0,0,1,0,0
"8529",1,1,1,1,1,1
"4051",1,0,0,1,0,0
