"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"GNAI3",51,4,8,1,8,9,3,40,25,3,5,0,40,14,2,2,4,0,245,9,4,8,18
"AMPD2",17,0,7,0,2,0,0,6,3,0,2,0,4,0,0,0,0,0,27,0,1,0,2
"GSTM4",73,4,6,2,1,0,0,36,7,2,1,0,5,5,3,0,0,2,509,4,1,1,5
"GSTM2",0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,7,3,0,0,0
"GSTM5",0,0,0,0,0,0,0,65,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0
"GSTM3",4,0,0,0,0,0,4,127,1,0,0,0,0,0,10,0,0,0,55,1,0,0,3
"EPS8L3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0
"CSF1",1,4,0,1,4,0,2,128,3,1,36,1,7,3,2,0,0,1,12,0,0,2,2
"AHCYL1",20,0,5,0,0,0,1,30,3,0,1,2,6,2,4,0,0,0,178,0,0,1,3
"STRIP1",13,0,0,1,0,0,0,7,1,0,1,0,3,3,0,0,1,0,64,1,0,0,4
"RP4-773N10.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"KCNC4",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
"RBM15",2,0,0,0,0,0,0,2,3,0,0,0,2,0,0,1,2,0,29,0,0,0,0
"RP5-1074L1.4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"LAMTOR5",260,12,25,4,17,2,8,225,64,3,11,4,93,50,20,13,3,8,1718,32,21,18,61
"RP11-284N8.3",0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,1,0,0,0,1,0,0,0
"KCNA3",2,0,0,0,0,0,0,2,1,0,0,0,12,3,0,0,0,0,1,2,0,2,0
"CD53",275,25,34,11,34,6,0,1,114,4,20,13,233,81,0,16,6,9,2,24,20,23,1
"LRIF1",6,1,1,2,0,0,0,2,12,0,8,1,10,0,0,1,0,0,56,9,1,2,1
"DRAM2",137,3,24,1,3,0,0,90,17,0,5,7,25,7,1,2,1,2,386,14,4,1,19
"CEPT1",11,1,1,0,1,0,0,11,3,0,0,1,4,1,0,0,1,0,63,2,0,0,7
"RP5-1180E21.5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,8,0,0,0,0
"DENND2D",14,8,1,0,2,3,0,7,29,0,1,0,28,13,0,3,1,1,113,1,0,1,2
"CHI3L2",1,8,0,0,1,0,0,0,5,0,0,0,5,9,0,2,0,0,0,0,0,0,0
"WDR77",6,0,1,1,1,0,0,10,5,0,3,0,5,1,0,0,0,0,132,0,0,0,0
"ATP5F1",273,12,34,1,24,6,2,237,98,1,29,2,122,35,20,6,3,7,3170,32,15,13,29
"C1orf162",253,0,35,0,0,0,0,1,15,0,17,1,20,6,0,3,3,0,5,0,14,0,0
"ADORA3",363,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"RAP1A",172,19,25,8,21,3,2,60,65,3,2,7,150,38,7,9,5,4,383,14,10,26,29
"FAM212B",3,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,9,0,0,0,0
"DDX20",6,0,0,0,1,0,0,11,7,0,0,0,6,7,1,0,0,1,33,0,0,1,1
