"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Regulatory CD4 Tcells","Vascular ECs"
"PCSK9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
"USP24",2,1,1,1,0,0,5,2,0,0,3,2,0,0,0,0,1,78,1,0,0
"OMA1",2,0,0,0,0,1,9,4,1,1,2,6,0,0,1,0,0,87,4,1,1
"TACSTD2",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,7
"MYSM1",1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,40,0,0,1
"JUN",125,34,150,7,11,60,512,30,185,9,81,124,7,4,9,5,3,3781,394,27,326
"RP4-794H19.1",0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,13,0,0,1
"FGGY",5,1,1,0,0,0,10,3,1,0,0,0,0,0,0,0,0,119,1,0,2
"HOOK1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,133,0,0,0
"CYP2J2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,149,0,0,0
"NFIA",2,0,2,0,0,1,71,0,0,0,1,2,3,0,0,0,0,128,0,0,6
"TM2D1",3,2,8,0,2,1,45,6,5,1,11,2,5,3,1,2,0,274,6,0,14
"INADL",0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,129,0,0,0
"L1TD1",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,256,0,0,0
"KANK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"USP1",7,2,11,2,0,5,14,4,1,0,10,4,4,1,1,1,2,155,3,0,6
"DOCK7",2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,50,0,0,0
"ATG4C",6,1,2,0,0,0,10,2,1,1,6,2,2,2,0,0,1,33,0,0,3
"ALG6",4,1,0,0,0,0,5,3,0,0,4,8,0,1,0,0,0,69,2,1,1
"ITGB3BP",7,0,0,0,0,0,9,3,0,0,0,3,1,0,0,0,1,58,1,0,0
"EFCAB7",1,0,0,0,0,0,11,0,0,0,2,1,0,0,0,0,0,11,0,0,1
"PGM1",2,2,2,0,0,1,38,4,0,0,2,8,2,0,0,2,1,503,0,0,4
"ROR1",0,0,0,0,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CACHD1",0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RAVER2",2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,124,0,0,0
"JAK1",13,6,8,3,1,1,52,23,1,6,22,34,7,1,4,7,5,140,3,3,9
"AK4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83,0,0,7
"LEPROT",20,0,3,1,0,0,162,2,1,1,7,4,7,0,2,1,0,249,6,2,25
"LEPR",0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,5,0,0,3
"PDE4B",11,6,13,0,0,0,4,3,0,3,29,16,0,4,2,7,1,3,7,3,0
"SGIP1",1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"WDR78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
"MIER1",6,6,2,1,0,0,14,2,2,0,11,9,4,0,2,0,2,115,2,0,3
"SLC35D1",1,1,0,1,0,1,3,4,0,0,6,2,0,0,1,2,0,105,2,0,1
"IL23R",0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0
"SERBP1",53,14,41,8,5,5,114,51,9,11,48,52,4,7,7,13,0,1412,6,7,31
"GADD45A",19,1,17,0,0,0,49,5,1,1,14,3,1,2,1,2,0,188,4,2,9
"GNG12",0,0,0,0,0,2,39,0,0,0,0,4,5,0,0,0,0,391,0,1,5
"GNG12-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"WLS",9,0,3,0,0,5,35,0,0,0,0,0,6,0,0,0,0,110,0,0,3
"DEPDC1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
"LRRC40",3,1,1,2,0,0,5,1,0,0,6,4,4,0,0,0,0,46,3,0,1
"SRSF11",34,3,32,2,3,1,143,12,5,4,30,37,9,2,9,1,1,676,17,3,25
"ANKRD13C",1,0,0,0,0,1,3,0,0,0,2,3,0,0,1,0,0,27,0,0,2
