"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"PLA2G12B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"P4HA1",4,2,2,0,0,0,1,73,2,0,0,0,0,1,10,3,2,0,1,0,0,1,55,9,0,1,1,3
"NUDT13",0,0,0,0,0,0,5,7,0,0,0,0,1,0,1,1,0,0,1,0,0,0,42,1,0,0,0,2
"ECD",3,0,5,0,1,0,5,40,0,1,0,0,2,3,12,2,1,0,5,0,0,1,190,9,0,1,1,12
"FAM149B1",0,0,1,0,0,0,0,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,55,0,0,0,0,1
"DNAJC9",5,10,22,1,0,3,7,75,4,4,0,0,1,4,81,9,2,2,19,0,0,5,1174,41,0,36,4,11
"DNAJC9-AS1",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0
"MRPS16",40,5,40,0,3,4,12,187,9,0,0,0,2,7,68,16,8,2,11,0,4,3,2973,101,1,22,4,26
"RP11-152N13.5",0,0,1,0,0,0,0,16,0,0,0,0,1,0,5,2,0,0,1,0,0,2,114,7,0,2,0,2
"ANXA7",35,11,48,0,0,5,44,399,9,1,1,1,10,8,102,26,15,2,23,1,1,12,1259,110,1,13,13,75
"MSS51",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"PPP3CB",4,1,4,0,0,1,4,39,0,1,0,0,0,2,13,3,0,0,0,0,0,1,151,6,0,1,2,3
