"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Regulatory CD4 Tcells","Vascular ECs"
"C20orf112",2,0,0,0,2,0,2,0,0,0,0,0,0,28,0,5
"C21orf119",3,1,0,0,15,0,0,0,3,0,1,0,0,16,0,1
"C2orf27A",0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,4
"C2orf43",2,0,0,0,10,0,0,0,2,1,0,0,0,15,0,6
"C3orf83",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"C4orf29",0,0,0,0,7,0,0,1,3,1,0,0,0,17,0,2
"C5orf55",2,0,0,0,7,0,0,0,0,0,0,0,0,12,0,0
"C6orf123",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"C6orf211",16,0,2,0,47,0,0,0,6,2,0,0,0,45,4,1
"C6orf57",0,0,4,0,2,0,0,0,0,0,0,0,0,17,0,0
"C7orf10",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"C7orf13",0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,1
"C7orf41",2,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
"C9orf156",3,0,2,0,7,0,2,0,4,0,0,5,0,22,1,0
"C9orf37",1,0,3,0,19,1,0,0,0,0,3,1,0,19,0,1
"C9orf41",0,2,0,3,4,0,2,0,2,1,0,1,3,19,0,2
"C9orf89",27,1,4,2,87,1,3,0,15,0,4,3,0,84,0,18
"CASC7",0,0,0,0,12,3,0,0,1,1,0,0,0,12,0,0
"CBR3-AS1",1,0,2,0,13,0,0,0,0,0,0,0,0,12,1,0
"CBWD6",2,0,0,0,12,1,0,0,0,0,0,0,0,9,0,3
"CCDC101",5,0,1,1,49,1,4,2,26,3,3,1,0,60,1,7
"CCDC104",9,0,3,1,75,0,3,4,7,0,4,6,0,40,0,27
"CCDC132",0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0
"CCDC23",43,4,19,5,153,2,4,0,14,3,3,5,0,120,0,23
"CCDC41",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
"CCL3L1",32,5,32,0,1,1,0,0,0,5,0,0,0,0,0,0
"CD27-AS1",6,0,3,5,54,1,0,0,1,0,5,0,0,47,0,11
"CD97",9,5,20,3,33,9,5,2,27,9,0,5,1,58,4,2
"CHL1-AS2",0,0,0,1,38,0,0,0,0,0,3,0,0,0,0,0
"CIRH1A",2,0,1,0,28,0,0,0,1,2,0,0,0,23,0,3
"COX10-AS1",2,0,0,0,20,0,0,0,2,0,0,0,0,3,0,0
"COX6A1P2",18,3,5,3,83,1,2,2,8,3,2,3,0,351,1,24
"CRAMP1L",0,0,0,0,0,0,0,2,0,3,0,0,0,16,0,2
"CROCCP2",2,1,2,1,33,0,0,0,3,0,0,2,0,32,0,1
"CTA-211A9.5",1,0,5,0,8,0,0,0,0,0,0,0,0,6,0,0
"CTA-217C2.1",4,0,1,1,4,0,0,1,2,0,0,0,0,7,0,0
"CTA-357J21.1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CTA-445C9.15",0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0
"CTB-175P5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"CTB-181H17.1",0,0,0,0,12,0,0,0,1,0,0,0,0,7,0,1
"CTB-89H12.4",1,0,2,1,10,1,0,3,3,1,0,2,0,30,0,1
"CTC-210G5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"CTC-228N24.3",5,0,5,0,37,0,0,2,2,0,0,0,0,41,0,8
"CTC-241F20.3",4,0,2,0,2,0,0,0,2,0,0,0,0,0,0,15
"CTC-276P9.1",0,0,0,0,194,0,0,1,0,0,5,0,0,1,0,0
"CTC-297N7.5",0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0
"CTC-338M12.4",0,0,0,0,10,1,0,0,0,0,0,0,0,5,0,0
"CTC-429P9.3",0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,1
"CTC-503J8.6",2,0,1,0,28,0,0,0,0,0,0,0,0,27,0,4
"CTC-559E9.6",0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0
"CTD-2006C1.2",9,0,3,0,15,0,0,0,0,0,0,0,0,17,1,3
"CTD-2037K23.2",1,0,11,0,18,0,0,1,9,9,0,0,0,14,1,0
"CTD-2047H16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"CTD-2162K18.5",0,0,3,0,9,0,1,0,0,0,0,0,0,1,0,0
"CTD-2196E14.9",0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0
"CTD-2201E18.3",0,0,0,1,5,0,0,0,1,3,0,0,0,4,0,0
"CTD-2210P24.4",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"CTD-2228K2.5",0,0,0,0,9,0,0,0,3,0,4,0,1,61,0,4
"CTD-2228K2.7",0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
"CTD-2267D19.2",3,0,3,1,17,0,0,0,0,0,0,0,0,5,0,14
"CTD-2270L9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CTD-2314B22.3",0,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0
"CTD-2368P22.1",1,0,1,0,8,0,0,0,2,0,0,0,0,5,0,2
"CTD-2369P2.2",1,0,2,1,11,0,0,0,0,0,1,0,0,0,0,0
"CTD-2521M24.9",0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,3
"CTD-3018O17.3",0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,4
"CTD-3092A11.2",3,0,0,0,18,1,0,0,0,0,2,0,0,7,0,1
"CTD-3094K11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"CTD-3099C6.9",0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,0
"CTD-3195I5.1",0,0,0,0,11,0,0,0,0,0,0,0,0,13,0,1
"CXorf24",0,0,0,2,8,0,0,0,0,0,2,0,0,6,0,3
"DAK",2,1,3,2,7,0,0,0,1,0,0,0,0,41,0,5
"DANCR",9,5,9,4,164,1,2,4,22,4,3,5,1,393,1,19
"DARC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263
"DKFZP434E1119",0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0
"DKFZP761J1410",0,0,1,1,10,0,0,0,0,0,2,0,0,1,0,2
"DTX2P1-UPK3BP1-PMS2P11",4,1,3,1,29,1,0,2,1,0,0,0,0,39,2,17
"DYNLL1-AS1",0,0,0,0,17,0,0,0,0,0,1,0,0,6,0,5
"EFCAB4A",0,0,0,0,0,0,0,0,1,0,0,0,2,102,0,42
"EFCAB4B",0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
"ELTD1",0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,129
"EMR2",4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2
"ERO1L",4,0,2,0,15,0,0,0,2,3,1,1,1,23,0,5
"ERO1LB",0,1,2,1,11,0,0,1,3,2,0,0,0,1,0,1
"ERVK13-1",0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0
"FAIM3",11,1,8,0,4,3,0,7,11,2,0,2,0,0,0,0
"FAM105B",8,0,0,2,8,1,1,0,1,0,0,1,0,12,0,0
"FAM115A",0,6,0,0,27,0,0,0,1,0,0,0,0,36,0,5
"FAM178A",1,1,1,2,48,0,0,0,5,0,1,0,0,16,1,1
"FAM211A",2,0,0,0,8,0,0,0,2,0,0,1,0,36,0,3
"FAM211B",0,0,0,0,10,0,0,0,0,0,0,0,0,17,0,0
"FAM21B",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"FAM27A",1,1,0,0,5,0,0,0,1,0,1,0,0,5,0,2
