"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"CDCA8",2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,130,0,1,26,0,0
"EPHA10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0
"MANEAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
"YRDC",3,0,0,1,0,0,19,3,2,0,7,6,3,0,2,0,4,143,0,7,8,0,5
"C1orf122",59,0,14,2,1,4,277,4,0,0,4,24,12,11,2,2,4,716,0,20,8,4,14
"MTF1",3,0,0,0,3,2,16,1,0,0,2,5,2,2,1,1,0,116,0,1,3,0,2
"INPP5B",2,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,2,87,0,2,4,1,4
"SF3A3",20,3,18,2,4,1,113,2,0,1,7,36,10,5,7,9,2,421,1,11,39,5,17
"FHL3",24,0,18,0,1,1,139,0,0,0,0,3,1,12,2,0,0,0,0,1,0,1,0
"UTP11L",18,5,7,1,0,2,172,6,0,1,8,23,9,6,3,4,4,314,0,4,13,1,19
"RRAGC",16,2,11,0,0,1,45,1,0,0,3,11,7,0,2,6,1,142,0,2,6,0,6
"RP5-864K19.4",4,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0
"MYCBP",4,1,2,2,1,1,41,6,0,0,2,21,10,4,1,7,1,259,0,3,10,1,6
"RHBDL2",1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,409,0,0,0,0,0
"AKIRIN1",18,5,28,0,5,1,61,5,2,0,5,71,27,5,9,19,6,204,0,11,25,8,12
"NDUFS5",275,31,83,14,10,14,711,22,20,14,27,355,167,40,21,48,34,8802,11,86,85,21,77
"MACF1",14,3,3,0,2,0,64,3,2,0,1,21,6,3,1,3,5,115,0,5,4,0,17
"RP11-69E11.4",5,1,3,0,0,0,28,0,0,0,0,9,1,0,0,1,1,107,0,2,1,0,1
"PABPC4",68,2,45,0,2,2,105,10,3,3,9,51,17,1,1,8,3,383,0,183,25,5,5
