"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"CADM2",2,0,1,0,0,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
"VGLL3",0,0,0,0,0,0,7,4,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"CHMP2B",202,11,35,2,3,1,4,143,0,12,0,1,1,138,85,37,22,49,172,5,6,1,132,1,370,10,60,4,21,21
"CGGBP1",114,15,15,0,2,1,6,82,1,2,0,0,0,174,72,33,7,43,198,6,2,1,53,0,483,7,81,14,31,25
"RP11-159G9.5",3,0,0,0,0,0,0,9,0,0,0,0,0,7,2,0,0,2,8,0,0,0,4,0,7,0,3,0,0,0
"ZNF654",22,1,1,0,0,0,1,13,0,0,0,0,0,14,5,3,1,6,26,2,0,0,10,0,37,0,4,0,5,2
"C3orf38",35,7,7,1,1,4,2,71,0,7,0,0,0,75,28,14,2,24,87,5,3,0,32,0,140,5,41,3,14,8
"EPHA3",1,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PROS1",34,0,2,0,0,0,11,204,0,0,0,0,1,4,3,2,13,0,2,0,0,0,1,1,31,3,1,1,0,23
"ARL13B",41,3,4,0,0,0,4,52,0,0,0,1,0,15,17,7,2,4,22,3,0,1,4,0,59,6,7,2,6,11
"STX19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,43,0,1,0,0,0,0,0
"DHFRL1",15,2,1,0,1,2,0,18,0,0,0,0,0,20,10,2,3,9,33,0,0,0,4,0,24,0,8,1,2,4
"NSUN3",22,0,1,0,0,0,0,16,0,1,0,0,0,25,15,8,2,17,29,0,1,0,32,0,82,0,13,2,2,4
"MTRNR2L12",17,1,3,0,0,0,2,34,0,0,0,1,0,6,5,2,7,5,5,0,1,0,14,0,34,0,2,0,0,1
"ARL6",7,0,1,0,0,1,2,13,0,1,0,0,0,3,3,2,1,0,3,0,0,1,0,0,15,0,2,0,0,2
"CRYBG3",47,0,6,0,0,0,2,95,0,0,0,0,0,7,6,1,4,2,7,0,0,0,13,0,127,2,1,0,0,9
"MINA",37,0,6,0,0,1,0,102,0,0,0,0,1,30,16,6,4,10,44,1,0,2,21,0,245,4,9,3,3,10
"CLDND1",102,28,20,4,9,0,14,131,0,16,1,2,1,84,114,79,16,20,143,4,12,3,23,3,726,9,37,8,31,24
"CPOX",28,2,1,1,1,0,3,19,0,1,1,0,0,7,11,5,1,6,16,2,0,0,10,0,74,3,5,1,3,6
"GPR15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,18,0,0,0,0,1
"ST3GAL6-AS1",5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0
"ST3GAL6",129,2,23,0,1,0,9,12,0,1,0,0,0,6,2,0,1,2,7,0,0,0,2,0,257,4,2,0,1,2
"DCBLD2",17,1,1,0,0,0,1,13,0,0,0,0,1,1,1,1,5,1,1,0,0,0,8,2,7,0,1,0,0,2
