"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"LPP",201,3,39,0,0,0,6,248,3,5,0,1,2,11,28,13,46,8,0,6,1,841,22,13,0,2,4,11
"TPRG1",1,1,0,0,0,0,0,3,1,1,0,0,0,0,12,10,0,1,1,0,0,0,11,0,0,0,5,0
"CLDN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"IL1RAP",54,0,5,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,1,0,0,0,2
"OSTN-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,49,0,0,0,0,0
"UTS2B",0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"CCDC50",290,0,61,0,1,0,1,130,3,3,0,3,0,33,16,4,4,0,0,2,0,174,339,40,2,0,1,32
"MB21D2",43,0,13,0,0,0,0,7,0,0,0,0,0,0,2,0,0,2,0,0,0,9,34,5,0,0,0,11
"ATP13A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0
"OPA1",82,1,20,0,0,1,1,33,0,1,0,1,0,3,14,3,5,1,0,2,0,211,33,6,0,1,0,6
"RP11-135A1.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"HES1",1465,0,640,0,0,0,50,1198,0,2,0,12,33,16,9,2,13,7,0,2,1,1296,54,123,1,0,10,498
"ATP13A3",311,2,63,0,1,1,2,37,0,2,1,1,0,5,11,6,1,4,0,3,0,222,28,21,1,0,2,7
"LINC00884",15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,1,0
"TMEM44-AS1",18,0,3,0,0,0,0,15,0,0,0,0,1,0,3,1,0,0,0,0,0,31,24,1,0,0,0,2
"TMEM44",4,0,1,0,0,0,0,5,0,1,0,0,0,0,1,2,1,0,0,0,0,68,3,0,0,0,0,8
"AC046143.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0
"LSG1",29,0,9,1,0,0,1,19,2,0,0,1,2,1,21,5,2,1,0,1,1,84,17,3,1,0,0,16
"FAM43A",34,0,23,0,0,0,1,64,1,0,1,2,1,5,17,11,0,1,2,14,3,89,40,2,1,0,3,56
"AC090505.4",2,0,0,0,1,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,4,2,0,0,0,0,3
"XXYLT1",42,0,22,0,0,0,2,31,2,0,0,1,1,0,9,3,2,0,0,1,0,32,6,6,1,1,0,6
"ACAP2",224,4,55,3,0,2,4,143,5,2,3,7,3,8,67,19,5,11,0,10,4,281,84,18,1,2,10,32
"PPP1R2",264,18,141,3,5,12,2,210,32,20,12,18,10,30,419,125,10,121,3,32,8,412,790,36,4,9,63,50
"APOD",1,0,0,0,0,0,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,25
"AC069513.4",5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0
"LINC00969",69,6,16,1,0,1,2,85,2,3,1,3,1,0,32,16,1,6,0,7,2,363,98,3,0,2,5,22
"MUC20",5,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,34,2,0,0,0,0,0
"MUC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,572,0,0,0,0,1,0
"TNK2",39,1,10,0,0,0,1,17,1,1,0,2,0,1,19,6,2,2,1,1,1,33,39,1,0,0,0,4
"AC124944.3",2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,1
"RP11-480A16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,4,0,0,0,0,0
"TFRC",425,4,45,1,3,0,0,15,1,1,0,3,3,1,22,8,2,6,1,1,0,624,58,82,4,0,7,9
"ZDHHC19",19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"SLC51A",5,0,4,0,0,0,0,8,0,0,0,2,0,1,6,1,0,4,0,1,0,112,9,1,0,0,3,2
"PCYT1A",104,0,27,1,1,1,1,38,2,4,2,1,1,5,22,11,2,5,0,1,1,171,47,5,3,1,3,20
"TCTEX1D2",11,0,1,1,0,1,2,27,0,2,2,2,0,6,15,7,0,4,0,3,0,69,9,0,1,0,2,7
"UBXN7",36,2,5,0,0,0,2,48,0,0,0,0,1,2,22,8,1,1,0,2,1,82,20,3,0,1,2,11
"UBXN7-AS1",1,0,1,0,0,1,2,13,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1
"RNF168",98,4,40,1,1,0,1,52,4,15,2,4,3,7,83,32,1,15,2,9,5,180,92,7,1,2,15,13
"WDR53",6,0,4,1,0,0,0,17,0,0,0,0,1,0,10,4,1,0,0,1,0,22,10,1,0,0,1,3
"FBXO45",25,0,14,0,0,1,0,16,0,0,0,1,0,1,5,3,0,1,0,1,0,109,15,1,0,1,0,7
"LINC01063",2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,6,3,0,0,0,0,1
"NRROS",32,0,18,0,0,0,0,0,1,0,0,2,1,3,7,1,0,0,0,0,0,0,34,9,0,0,0,4
"PIGX",106,0,24,0,1,3,4,171,1,1,1,2,0,3,24,18,3,7,2,2,2,174,112,16,6,1,6,11
"CEP19",13,2,4,0,0,0,1,47,0,1,0,1,0,0,19,5,4,4,0,2,1,6,11,0,0,0,0,5
"PAK2",376,8,112,4,1,1,8,114,14,9,3,4,3,18,137,47,5,26,2,7,7,366,105,43,3,5,15,34
"SENP5",50,1,28,0,1,1,1,40,3,0,2,1,1,3,27,10,0,5,0,5,1,59,37,7,0,1,6,8
"NCBP2",169,3,64,2,0,1,3,148,6,9,2,4,2,18,113,33,2,31,2,14,4,292,150,13,6,2,6,24
"NCBP2-AS2",117,1,37,3,0,1,5,129,4,1,1,1,0,5,50,19,6,11,0,6,3,637,88,8,4,1,10,29
"PIGZ",24,0,1,0,0,0,0,15,0,0,0,0,1,1,2,2,0,1,0,0,1,469,7,0,0,0,0,5
"MFI2",5,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,3,0,0,1,0
"MFI2-AS1",1,0,1,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,14,9,0,0,0,1,1
"DLG1",52,2,9,1,0,1,3,59,1,0,0,0,0,3,27,11,1,2,0,0,0,260,90,5,0,0,2,4
"RP13-616I3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"BDH1",5,1,5,0,1,1,0,3,0,1,0,0,0,0,8,1,0,0,0,1,0,352,19,1,0,1,1,1
"FYTTD1",161,4,45,1,0,0,2,123,7,5,3,9,2,11,64,24,4,17,1,15,4,193,185,16,1,0,3,19
"LRCH3",30,1,14,0,3,1,2,57,2,3,0,0,1,7,21,6,1,5,1,3,1,75,32,0,0,0,4,6
"IQCG",23,0,9,0,0,1,0,21,0,1,0,0,1,1,13,4,1,1,0,2,0,24,79,1,0,0,0,2
"RPL35A",6704,337,4322,97,95,115,151,9143,378,528,171,355,296,1169,7408,2252,274,1828,72,425,194,25528,15988,745,101,104,680,1398
