"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"MIR646HG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-429E11.3",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"RP11-429E11.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TAF4",9,2,2,0,0,0,7,0,0,0,2,1,3,4,1,0,0,3,1,1,1,1,1,54,11
"RP11-11M20.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"LSM14B",5,3,1,0,0,0,5,1,0,0,1,1,2,7,0,0,2,9,2,1,2,1,1,54,10
"PSMA7",489,247,25,55,100,6,256,23,23,6,99,27,77,113,11,20,22,590,37,71,51,54,62,2640,835
"SS18L1",4,4,0,1,2,0,4,0,0,0,2,0,2,4,1,1,0,5,1,1,1,3,1,49,20
"MTG2",7,4,0,1,4,0,6,0,1,0,0,0,0,3,0,0,1,11,0,0,2,3,0,58,21
"OSBPL2",23,6,1,0,5,0,5,1,1,0,1,2,2,6,2,0,1,12,2,0,0,2,1,130,23
"ADRM1",89,50,2,8,16,1,55,4,4,0,17,4,12,27,2,3,5,113,13,8,10,16,15,355,180
"RP11-157P1.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"LAMA5",0,12,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,18,52
"RP5-908M14.9",1,3,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,10,4
"RPS21",590,291,91,130,231,22,495,38,38,17,238,132,220,321,78,81,72,632,134,74,119,113,136,6457,1179
"CABLES2",0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,8,4
"RBBP8NL",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,49,3
"SLCO4A1",2,0,0,0,1,0,1,0,0,0,1,0,1,3,0,0,0,0,2,0,0,0,2,57,10
"RP11-93B14.9",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1
"RP11-93B14.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLCO4A1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,24,0
"MRGBP",6,3,1,3,3,0,4,1,0,1,2,0,1,2,0,0,1,11,1,0,1,3,1,57,21
"OGFR",40,25,1,3,2,0,12,3,1,0,3,2,5,8,1,1,0,29,3,2,2,1,3,96,13
"COL9A3",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,14,2
"TCFL5",3,1,0,0,4,0,2,0,0,1,3,0,1,4,0,0,1,3,0,0,0,0,0,20,11
"DIDO1",10,14,3,1,8,3,21,1,2,0,3,4,13,13,0,2,2,24,3,0,6,5,6,116,40
"RP4-563E14.1",1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,5,4
"GID8",22,13,6,3,8,1,18,2,6,1,7,2,7,8,2,3,1,41,3,3,5,3,6,169,43
"SLC17A9",9,4,0,0,2,0,1,0,1,0,4,0,0,1,0,1,0,10,10,1,0,1,0,21,5
"HAR1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"HAR1A",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0
"YTHDF1",12,5,0,0,5,0,6,0,0,0,2,1,2,3,0,0,0,15,0,1,0,0,2,105,30
"RP5-963E22.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NKAIN4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARFGAP1",9,10,1,0,5,0,6,0,1,0,1,2,3,3,1,1,0,14,3,1,1,1,1,89,25
